State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arong,NICOBARS,CAR NICOBAR - 6499,Arong,0,0,7,0,0,7,0,0,7,0,0,7,0,0,7,7,0,0,7,7,0,7,0,7,0,7,0,7,0
Big Lapati,NICOBARS,CAR NICOBAR - 6499,Big Lapati,0,3,6,0,2,7,0,2,7,0,0,9,0,0,9,9,0,0,9,9,0,9,0,9,0,9,0,9,0
Chuckchucha,NICOBARS,CAR NICOBAR - 6499,Chuckchucha,0,2,8,0,0,10,0,5,5,0,1,9,0,0,10,10,0,0,10,10,0,10,0,8,2,10,0,10,0
Kakana,NICOBARS,CAR NICOBAR - 6499,Kakana,0,0,6,0,3,3,0,1,5,0,4,2,0,0,6,6,0,0,6,6,0,6,0,6,0,6,0,6,0
Kimois,NICOBARS,CAR NICOBAR - 6499,Kimois,0,1,11,0,5,7,0,0,12,0,0,12,0,0,12,12,0,0,12,12,0,12,0,11,1,12,0,12,0
Kinmai,NICOBARS,CAR NICOBAR - 6499,Kinmai,0,0,9,0,0,9,0,2,7,0,0,9,0,0,9,9,0,0,9,9,0,9,0,9,0,9,0,9,0
Kinyuka,NICOBARS,CAR NICOBAR - 6499,Kinyuka,0,0,10,0,0,10,0,1,9,0,0,10,0,0,10,5,5,0,10,10,0,3,7,9,1,10,0,10,0
Malacca,NICOBARS,CAR NICOBAR - 6499,Malacca,0,3,7,0,2,8,0,3,7,0,1,9,0,0,10,3,7,0,10,10,0,10,0,10,0,10,0,10,0
Mus,NICOBARS,CAR NICOBAR - 6499,Mus,0,0,9,0,1,8,0,0,9,0,0,9,0,0,9,7,2,0,9,9,0,0,9,9,0,9,0,9,0
Perka,NICOBARS,CAR NICOBAR - 6499,Perka,0,0,10,0,3,7,0,1,9,0,4,6,0,0,10,5,5,0,10,10,0,10,0,9,1,10,0,10,0
Sawai,NICOBARS,CAR NICOBAR - 6499,Sawai,0,0,10,0,0,10,0,0,10,0,0,10,0,0,10,10,0,0,10,10,0,0,10,10,0,10,0,10,0
Small Lapati,NICOBARS,CAR NICOBAR - 6499,Small Lapati,0,5,6,0,3,8,0,2,9,0,1,10,0,0,11,11,0,0,11,11,0,7,4,11,0,11,0,11,0
Tapoiming,NICOBARS,CAR NICOBAR - 6499,Tapoiming,0,4,6,0,2,8,0,2,8,0,2,8,0,0,10,8,2,0,10,10,0,2,8,10,0,10,0,10,0
Teetop,NICOBARS,CAR NICOBAR - 6499,Teetop,0,2,8,0,1,9,0,1,9,0,0,10,0,0,10,10,0,0,10,10,0,9,1,10,0,10,0,10,0
