cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Mus,0,9,0,0,8,1,0,9,0,0,9,0,9,0,0,0,9,2,7,9,0,0,9,9,0,9,0,9,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Teetop,0,8,2,0,9,1,0,9,1,0,10,0,10,0,0,0,10,0,10,10,0,9,1,10,0,10,0,10,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Big Lapati,0,6,3,0,7,2,0,7,2,0,9,0,9,0,0,0,9,0,9,9,0,9,0,9,0,9,0,9,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Sawai,0,10,0,0,10,0,0,10,0,0,10,0,10,0,0,0,10,0,10,10,0,0,10,10,0,10,0,10,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Kinmai,0,9,0,0,9,0,0,7,2,0,9,0,9,0,0,0,9,0,9,9,0,9,0,9,0,9,0,9,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Kinyuka,0,10,0,0,10,0,0,9,1,0,10,0,10,0,0,0,10,5,5,10,0,3,7,9,1,10,0,10,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Chuckchucha,0,8,2,0,10,0,0,5,5,0,10,0,9,1,0,0,10,0,10,10,0,10,0,8,2,10,0,10,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Malacca,0,7,3,0,8,2,0,7,3,0,10,0,9,1,0,0,10,7,3,10,0,10,0,10,0,10,0,10,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Small Lapati,0,6,5,0,8,3,0,9,2,0,11,0,10,1,0,0,11,0,11,11,0,7,4,11,0,11,0,11,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Perka,0,10,0,0,7,3,0,9,1,0,10,0,6,4,0,0,10,5,5,10,0,10,0,9,1,10,0,10,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Arong,0,7,0,0,7,0,0,7,0,0,7,0,7,0,0,0,7,0,7,7,0,7,0,7,0,7,0,7,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Kimois,0,11,1,0,7,5,0,12,0,0,12,0,12,0,0,0,12,0,12,12,0,12,0,11,1,12,0,12,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Kakana,0,6,0,0,3,3,0,5,1,0,6,0,2,4,0,0,6,0,6,6,0,6,0,6,0,6,0,6,0
2023-24,ANDAMAN & NICOBAR,NICOBARS,CAR NICOBAR - 6499,Tapoiming,0,6,4,0,8,2,0,8,2,0,10,0,8,2,0,0,10,2,8,10,0,2,8,10,0,10,0,10,0
