cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Tusnabad (RV),0,25,4,0,20,9,0,29,0,1,28,0,28,1,0,0,29,1,28,29,0,17,12,21,8,29,0,29,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Chouldari (RV),0,29,11,0,26,14,1,37,2,0,40,0,40,0,0,0,40,0,40,40,0,40,0,40,0,40,0,40,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Manpur (RV),0,17,15,0,22,10,0,30,2,0,32,0,32,0,0,6,26,0,32,31,1,22,10,31,1,32,0,32,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Tirur (RV),0,3,8,0,7,4,0,11,0,0,11,0,11,0,0,9,2,2,9,11,0,11,0,11,0,11,0,11,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Alipur (RV),0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Mithakhari (RV),0,12,3,0,10,5,0,14,1,0,15,0,15,0,0,0,15,0,15,15,0,13,2,15,0,15,0,15,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Herbertabad (RV),0,6,3,0,5,4,0,9,0,0,9,0,9,0,0,3,6,0,9,9,0,1,8,9,0,9,0,9,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Namunaghar (RV),0,7,3,0,7,3,0,9,1,0,10,0,10,0,0,0,10,0,10,10,0,10,0,10,0,10,0,10,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Hobdipur (RV),0,7,8,0,12,3,0,15,0,1,14,0,15,0,0,0,15,1,14,15,0,12,3,11,4,15,0,15,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Colinpur (RV),0,7,5,0,7,5,0,11,1,0,12,0,12,0,0,2,10,0,12,12,0,4,8,12,0,12,0,11,1
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Wandur (RV),0,20,9,0,20,9,0,25,4,3,26,0,29,0,0,2,27,0,29,29,0,24,5,26,3,28,1,29,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Bindraban (RV),0,5,3,0,6,2,0,7,1,0,8,0,8,0,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Hashmatabad (RV),0,5,3,0,4,4,0,7,1,0,8,0,8,0,0,0,8,0,8,8,0,8,0,8,0,8,0,8,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Maymyo (RV),0,3,2,0,2,3,0,3,2,0,5,0,5,0,0,0,5,0,5,5,0,5,0,5,0,5,0,5,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Caddlegunj (RV) (incl. Sona Pahar & Hazari Bagh (JPPC),0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2023-24,ANDAMAN & NICOBAR,SOUTH ANDAMANS,FERRARGUNJ - 6493,Dhanikhari (RV),0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
