cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Mannila,0,36,1,28,0,9,24,0,13,35,2,0,37,0,0,0,37,0,37,17,20,25,12,37,0,34,3,37,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Narayanapuram (CT),0,47,1,38,1,9,36,0,12,48,0,0,47,1,0,0,48,0,48,42,6,32,16,48,0,33,15,48,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Kakkalapalle (CT),0,24,0,17,0,7,22,0,2,22,2,0,24,0,0,0,24,0,24,20,4,12,12,24,0,22,2,23,1
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Anantapur Rural,0,3,0,1,0,2,2,0,1,3,0,0,3,0,1,0,2,0,3,2,1,1,2,3,0,2,1,2,1
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Chiyyedu,0,20,0,17,0,3,17,0,3,20,0,0,20,0,0,0,20,0,20,19,1,16,4,20,0,16,4,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Kandakur,0,33,0,31,0,2,29,0,4,33,0,0,33,0,0,0,33,0,33,32,1,26,7,33,0,30,3,33,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Rachanapalle,0,14,1,12,0,3,11,0,4,15,0,0,13,2,0,0,15,0,15,12,3,10,5,15,0,14,1,15,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Thaticherla,0,21,2,20,0,3,20,0,3,23,0,0,21,2,1,0,22,0,23,20,3,17,6,23,0,16,7,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Kurugunta,0,10,0,8,0,2,7,0,3,10,0,0,9,1,0,0,10,0,10,6,4,7,3,10,0,8,2,10,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Upparapalle,0,29,2,27,1,3,30,0,1,29,2,0,30,1,0,0,31,0,31,28,3,17,14,31,0,24,7,31,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Kamarupalle,0,33,0,28,0,5,26,0,7,31,2,0,33,0,0,0,33,0,33,30,3,26,7,33,0,26,7,33,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Alamuru,0,40,0,32,0,8,38,0,2,40,0,0,38,2,0,0,40,0,40,33,7,25,15,40,0,35,5,40,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Katiganikalva,0,30,3,30,0,3,29,2,2,32,1,0,31,2,0,0,33,0,33,30,3,24,9,33,0,33,0,32,1
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Somanadoddi,0,33,1,31,0,3,28,0,6,34,0,0,34,0,0,0,34,0,34,32,2,23,11,34,0,14,20,34,0
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Kodimi,0,4,1,2,0,3,3,0,2,5,0,0,5,0,0,0,5,0,5,5,0,3,2,5,0,3,2,4,1
2023-24,ANDHRA PRADESH,ANANTAPUR,ANANTAPUR - 4689,Itikalapalle,0,21,2,20,0,3,19,0,4,23,0,0,23,0,0,0,23,0,23,15,8,16,7,23,0,19,4,23,0
