State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alamuru,ANANTAPUR,ANANTAPUR - 4689,Alamuru,0,0,40,32,8,0,38,2,0,0,2,38,0,0,40,40,0,40,0,33,7,25,15,40,0,35,5,40,0
Anantapur Rural,ANANTAPUR,ANANTAPUR - 4689,Anantapur Rural,0,0,3,1,2,0,2,1,0,0,0,3,1,0,2,3,0,3,0,2,1,1,2,3,0,2,1,2,1
Chiyyedu,ANANTAPUR,ANANTAPUR - 4689,Chiyyedu,0,0,20,17,3,0,17,3,0,0,0,20,0,0,20,20,0,20,0,19,1,16,4,20,0,16,4,20,0
Itikalapalle,ANANTAPUR,ANANTAPUR - 4689,Itikalapalle,0,2,21,20,3,0,19,4,0,0,0,23,0,0,23,23,0,23,0,15,8,16,7,23,0,19,4,23,0
Kakkalapalle (CT),ANANTAPUR,ANANTAPUR - 4689,Kakkalapalle (CT),0,0,24,17,7,0,22,2,0,0,0,24,0,0,24,24,0,22,2,20,4,12,12,24,0,22,2,23,1
Kamarupalle,ANANTAPUR,ANANTAPUR - 4689,Kamarupalle,0,0,33,28,5,0,26,7,0,0,0,33,0,0,33,33,0,31,2,30,3,26,7,33,0,26,7,33,0
Kandakur,ANANTAPUR,ANANTAPUR - 4689,Kandakur,0,0,33,31,2,0,29,4,0,0,0,33,0,0,33,33,0,33,0,32,1,26,7,33,0,30,3,33,0
Katiganikalva,ANANTAPUR,ANANTAPUR - 4689,Katiganikalva,0,3,30,30,3,0,29,2,2,0,2,31,0,0,33,33,0,32,1,30,3,24,9,33,0,33,0,32,1
Kodimi,ANANTAPUR,ANANTAPUR - 4689,Kodimi,0,1,4,2,3,0,3,2,0,0,0,5,0,0,5,5,0,5,0,5,0,3,2,5,0,3,2,4,1
Kurugunta,ANANTAPUR,ANANTAPUR - 4689,Kurugunta,0,0,10,8,2,0,7,3,0,0,1,9,0,0,10,10,0,10,0,6,4,7,3,10,0,8,2,10,0
Mannila,ANANTAPUR,ANANTAPUR - 4689,Mannila,0,1,36,28,9,0,24,13,0,0,0,37,0,0,37,37,0,35,2,17,20,25,12,37,0,34,3,37,0
Narayanapuram (CT),ANANTAPUR,ANANTAPUR - 4689,Narayanapuram (CT),0,1,47,38,9,1,36,12,0,0,1,47,0,0,48,48,0,48,0,42,6,32,16,48,0,33,15,48,0
Rachanapalle,ANANTAPUR,ANANTAPUR - 4689,Rachanapalle,0,1,14,12,3,0,11,4,0,0,2,13,0,0,15,15,0,15,0,12,3,10,5,15,0,14,1,15,0
Somanadoddi,ANANTAPUR,ANANTAPUR - 4689,Somanadoddi,0,1,33,31,3,0,28,6,0,0,0,34,0,0,34,34,0,34,0,32,2,23,11,34,0,14,20,34,0
Thaticherla,ANANTAPUR,ANANTAPUR - 4689,Thaticherla,0,2,21,20,3,0,20,3,0,0,2,21,1,0,22,23,0,23,0,20,3,17,6,23,0,16,7,23,0
Upparapalle,ANANTAPUR,ANANTAPUR - 4689,Upparapalle,0,2,29,27,3,1,30,1,0,0,1,30,0,0,31,31,0,29,2,28,3,17,14,31,0,24,7,31,0
