cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Sreerangapuram,0,24,0,4,0,20,16,1,7,24,0,1,22,1,0,0,24,0,24,22,2,22,2,24,0,24,0,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Duddekunta,0,28,0,1,0,27,23,0,5,28,0,0,21,7,0,0,28,1,27,26,2,17,11,28,0,27,1,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Ankampalle,0,27,0,7,0,20,19,1,7,23,4,0,24,3,0,0,27,0,27,27,0,23,4,27,0,26,1,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Thagguparthy,0,33,0,3,0,30,18,2,13,33,0,0,31,2,0,0,33,0,33,30,3,17,16,33,0,33,0,33,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Avulenna,0,7,0,2,0,5,6,0,1,7,0,0,5,2,0,0,7,0,7,6,1,6,1,7,0,6,1,7,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Seerpi,0,23,0,9,0,14,13,3,7,23,0,0,23,0,0,0,23,0,23,21,2,12,11,23,0,23,0,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Beluguppa,0,40,1,15,0,26,38,0,3,40,1,1,37,3,0,0,41,0,41,39,2,31,10,41,0,39,2,41,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Konampalle,0,17,0,1,0,16,6,0,11,17,0,0,16,1,0,0,17,0,17,13,4,14,3,17,0,17,0,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Narasapuram,0,30,0,3,0,27,15,0,15,29,1,0,29,1,0,0,30,0,30,30,0,27,3,30,0,30,0,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Budigumma,0,24,3,3,0,24,17,0,10,27,0,0,23,4,0,0,27,0,27,27,0,19,8,27,0,24,3,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Gangavaram,0,21,0,3,0,18,10,0,11,21,0,0,18,3,0,0,21,0,21,21,0,19,2,20,1,20,1,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Kalvapalle,0,25,0,5,0,20,13,1,11,25,0,0,24,1,0,0,25,0,25,25,0,16,9,25,0,25,0,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Yerragudi,0,12,1,0,0,13,6,2,5,13,0,0,13,0,0,0,13,0,13,13,0,10,3,13,0,13,0,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BELUGUPPA - 4692,Narinjagundlapalle,0,12,0,0,0,12,5,1,6,12,0,0,11,1,0,0,12,0,12,12,0,6,6,12,0,12,0,12,0
