State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ankampalle,ANANTAPUR,BELUGUPPA - 4692,Ankampalle,0,0,27,7,20,0,19,7,1,0,3,24,0,0,27,27,0,23,4,27,0,23,4,27,0,26,1,27,0
Avulenna,ANANTAPUR,BELUGUPPA - 4692,Avulenna,0,0,7,2,5,0,6,1,0,0,2,5,0,0,7,7,0,7,0,6,1,6,1,7,0,6,1,7,0
Beluguppa,ANANTAPUR,BELUGUPPA - 4692,Beluguppa,0,1,40,15,26,0,38,3,0,1,3,37,0,0,41,41,0,40,1,39,2,31,10,41,0,39,2,41,0
Budigumma,ANANTAPUR,BELUGUPPA - 4692,Budigumma,0,3,24,3,24,0,17,10,0,0,4,23,0,0,27,27,0,27,0,27,0,19,8,27,0,24,3,27,0
Duddekunta,ANANTAPUR,BELUGUPPA - 4692,Duddekunta,0,0,28,1,27,0,23,5,0,0,7,21,0,0,28,27,1,28,0,26,2,17,11,28,0,27,1,27,0
Gangavaram,ANANTAPUR,BELUGUPPA - 4692,Gangavaram,0,0,21,3,18,0,10,11,0,0,3,18,0,0,21,21,0,21,0,21,0,19,2,20,1,20,1,21,0
Kalvapalle,ANANTAPUR,BELUGUPPA - 4692,Kalvapalle,0,0,25,5,20,0,13,11,1,0,1,24,0,0,25,25,0,25,0,25,0,16,9,25,0,25,0,25,0
Konampalle,ANANTAPUR,BELUGUPPA - 4692,Konampalle,0,0,17,1,16,0,6,11,0,0,1,16,0,0,17,17,0,17,0,13,4,14,3,17,0,17,0,17,0
Narasapuram,ANANTAPUR,BELUGUPPA - 4692,Narasapuram,0,0,30,3,27,0,15,15,0,0,1,29,0,0,30,30,0,29,1,30,0,27,3,30,0,30,0,30,0
Narinjagundlapalle,ANANTAPUR,BELUGUPPA - 4692,Narinjagundlapalle,0,0,12,0,12,0,5,6,1,0,1,11,0,0,12,12,0,12,0,12,0,6,6,12,0,12,0,12,0
Seerpi,ANANTAPUR,BELUGUPPA - 4692,Seerpi,0,0,23,9,14,0,13,7,3,0,0,23,0,0,23,23,0,23,0,21,2,12,11,23,0,23,0,23,0
Sreerangapuram,ANANTAPUR,BELUGUPPA - 4692,Sreerangapuram,0,0,24,4,20,0,16,7,1,1,1,22,0,0,24,24,0,24,0,22,2,22,2,24,0,24,0,24,0
Thagguparthy,ANANTAPUR,BELUGUPPA - 4692,Thagguparthy,0,0,33,3,30,0,18,13,2,0,2,31,0,0,33,33,0,33,0,30,3,17,16,33,0,33,0,33,0
Yerragudi,ANANTAPUR,BELUGUPPA - 4692,Yerragudi,0,1,12,0,13,0,6,5,2,0,0,13,0,0,13,13,0,13,0,13,0,10,3,13,0,13,0,13,0
