cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Kuruvalli,0,10,2,11,0,1,8,0,4,11,1,2,7,3,0,0,12,0,12,8,4,9,3,12,0,4,8,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Uddehal,0,4,0,2,0,2,2,0,2,4,0,0,3,1,0,0,4,0,4,2,2,2,2,4,0,3,1,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Bollanaguddam,0,6,1,5,0,2,6,0,1,6,1,0,7,0,0,0,7,0,7,5,2,6,1,7,0,6,1,7,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Elanji,0,21,0,17,0,4,19,0,2,21,0,0,20,1,0,0,21,0,21,20,1,16,5,21,0,19,2,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Nemakallu,0,20,1,16,0,5,18,0,3,21,0,0,18,3,0,0,21,0,21,14,7,12,9,21,0,19,2,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Sreedharaghattu,0,19,0,11,0,8,19,0,0,19,0,0,19,0,0,0,19,10,9,19,0,17,2,19,0,19,0,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Haresamudram,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Govindawada,0,24,0,21,0,3,13,0,11,24,0,0,24,0,11,0,13,0,24,16,8,22,2,24,0,10,14,23,1
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Singanahalli,0,22,0,13,0,9,20,0,2,22,0,0,17,5,0,0,22,9,13,20,2,17,5,22,0,21,1,21,1
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Kolaganahalli,0,19,0,13,0,6,8,0,11,19,0,0,19,0,1,0,18,0,19,11,8,14,5,19,0,18,0,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Kalludevanahalli,0,23,0,7,0,16,5,0,18,23,0,0,23,0,1,0,22,0,23,14,9,20,3,23,0,16,7,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Bommanahal,0,23,2,15,0,10,20,0,5,25,0,1,22,2,0,0,25,2,23,19,6,13,12,25,0,24,1,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Siddarampuram,0,26,1,24,0,3,13,0,14,27,0,2,24,1,1,0,26,1,26,24,3,15,12,27,0,22,5,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Bandur,0,20,0,14,0,6,16,0,4,20,0,0,15,5,0,0,20,6,14,20,0,16,4,20,0,20,0,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,Untakal,0,16,2,11,0,7,16,0,2,18,0,1,13,4,0,0,18,3,15,17,1,11,7,18,0,16,2,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BOMMANAHAL - 4693,D.Honnur,0,41,3,33,1,10,32,0,12,44,0,0,38,6,0,0,44,8,36,40,4,27,17,44,0,41,3,44,0
