State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bandur,ANANTAPUR,BOMMANAHAL - 4693,Bandur,0,0,20,14,6,0,16,4,0,0,5,15,0,0,20,14,6,20,0,20,0,16,4,20,0,20,0,20,0
Bollanaguddam,ANANTAPUR,BOMMANAHAL - 4693,Bollanaguddam,0,1,6,5,2,0,6,1,0,0,0,7,0,0,7,7,0,6,1,5,2,6,1,7,0,6,1,7,0
Bommanahal,ANANTAPUR,BOMMANAHAL - 4693,Bommanahal,0,2,23,15,10,0,20,5,0,1,2,22,0,0,25,23,2,25,0,19,6,13,12,25,0,24,1,25,0
D.Honnur,ANANTAPUR,BOMMANAHAL - 4693,D.Honnur,0,3,41,33,10,1,32,12,0,0,6,38,0,0,44,36,8,44,0,40,4,27,17,44,0,41,3,44,0
Elanji,ANANTAPUR,BOMMANAHAL - 4693,Elanji,0,0,21,17,4,0,19,2,0,0,1,20,0,0,21,21,0,21,0,20,1,16,5,21,0,19,2,21,0
Govindawada,ANANTAPUR,BOMMANAHAL - 4693,Govindawada,0,0,24,21,3,0,13,11,0,0,0,24,11,0,13,24,0,24,0,16,8,22,2,24,0,10,14,23,1
Haresamudram,ANANTAPUR,BOMMANAHAL - 4693,Haresamudram,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Kalludevanahalli,ANANTAPUR,BOMMANAHAL - 4693,Kalludevanahalli,0,0,23,7,16,0,5,18,0,0,0,23,1,0,22,23,0,23,0,14,9,20,3,23,0,16,7,23,0
Kolaganahalli,ANANTAPUR,BOMMANAHAL - 4693,Kolaganahalli,0,0,19,13,6,0,8,11,0,0,0,19,1,0,18,19,0,19,0,11,8,14,5,19,0,18,0,19,0
Kuruvalli,ANANTAPUR,BOMMANAHAL - 4693,Kuruvalli,0,2,10,11,1,0,8,4,0,2,3,7,0,0,12,12,0,11,1,8,4,9,3,12,0,4,8,12,0
Nemakallu,ANANTAPUR,BOMMANAHAL - 4693,Nemakallu,0,1,20,16,5,0,18,3,0,0,3,18,0,0,21,21,0,21,0,14,7,12,9,21,0,19,2,21,0
Siddarampuram,ANANTAPUR,BOMMANAHAL - 4693,Siddarampuram,0,1,26,24,3,0,13,14,0,2,1,24,1,0,26,26,1,27,0,24,3,15,12,27,0,22,5,27,0
Singanahalli,ANANTAPUR,BOMMANAHAL - 4693,Singanahalli,0,0,22,13,9,0,20,2,0,0,5,17,0,0,22,13,9,22,0,20,2,17,5,22,0,21,1,21,1
Sreedharaghattu,ANANTAPUR,BOMMANAHAL - 4693,Sreedharaghattu,0,0,19,11,8,0,19,0,0,0,0,19,0,0,19,9,10,19,0,19,0,17,2,19,0,19,0,19,0
Uddehal,ANANTAPUR,BOMMANAHAL - 4693,Uddehal,0,0,4,2,2,0,2,2,0,0,1,3,0,0,4,4,0,4,0,2,2,2,2,4,0,3,1,4,0
Untakal,ANANTAPUR,BOMMANAHAL - 4693,Untakal,0,2,16,11,7,0,16,2,0,1,4,13,0,0,18,15,3,18,0,17,1,11,7,18,0,16,2,18,0
