cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Pillalapalle,0,19,0,18,0,1,7,0,12,19,0,0,18,1,0,0,19,0,19,11,8,18,1,19,0,13,6,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Gundiganihalli,0,15,0,14,0,1,10,0,5,15,0,0,15,0,0,0,15,0,15,6,9,12,3,15,0,4,11,15,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Theetakal,0,27,0,25,0,2,17,0,10,27,0,0,26,1,5,0,22,0,27,14,13,26,1,27,0,18,9,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Eradikera,0,27,0,26,0,1,12,0,15,27,0,0,27,0,3,0,24,0,27,20,7,23,4,27,0,24,3,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Bhyravanithippa,0,27,0,26,0,1,22,0,5,27,0,0,27,0,4,0,23,0,27,14,13,26,1,27,0,19,8,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Kannepalle,0,23,1,24,0,0,10,0,14,24,0,0,24,0,0,0,24,0,24,23,1,11,13,24,0,22,2,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Vepalaparthy,0,18,1,17,0,2,9,0,10,19,0,0,19,0,0,0,19,0,19,8,11,16,3,19,0,7,12,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,West Kodipalle,0,21,1,21,0,1,15,0,7,22,0,0,21,1,1,0,21,0,22,17,5,18,4,22,0,20,2,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Chelimenahalli,0,21,0,21,0,0,15,0,6,21,0,0,21,0,0,0,21,1,20,9,12,18,3,21,0,1,20,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Bhairasamudram,0,29,0,28,0,1,24,0,5,29,0,0,28,1,0,0,29,0,29,11,18,28,1,28,0,22,7,29,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Santhekondapuram,0,26,0,26,0,0,11,0,15,26,0,0,24,2,0,0,26,0,26,19,7,23,3,26,0,17,9,25,1
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Brahmasamudram,0,52,0,48,0,4,22,0,30,52,0,0,50,2,1,0,51,0,52,25,27,45,7,52,0,8,44,51,1
2023-24,ANDHRA PRADESH,ANANTAPUR,BRAHMASAMUDRAM - 4694,Yerrakondapuram,0,20,0,20,0,0,15,0,5,20,0,0,20,0,6,0,14,0,20,5,15,19,1,20,0,19,1,20,0
