State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bhairasamudram,ANANTAPUR,BRAHMASAMUDRAM - 4694,Bhairasamudram,0,0,29,28,1,0,24,5,0,0,1,28,0,0,29,29,0,29,0,11,18,28,1,28,0,22,7,29,0
Bhyravanithippa,ANANTAPUR,BRAHMASAMUDRAM - 4694,Bhyravanithippa,0,0,27,26,1,0,22,5,0,0,0,27,4,0,23,27,0,27,0,14,13,26,1,27,0,19,8,27,0
Brahmasamudram,ANANTAPUR,BRAHMASAMUDRAM - 4694,Brahmasamudram,0,0,52,48,4,0,22,30,0,0,2,50,1,0,51,52,0,52,0,25,27,45,7,52,0,8,44,51,1
Chelimenahalli,ANANTAPUR,BRAHMASAMUDRAM - 4694,Chelimenahalli,0,0,21,21,0,0,15,6,0,0,0,21,0,0,21,20,1,21,0,9,12,18,3,21,0,1,20,21,0
Eradikera,ANANTAPUR,BRAHMASAMUDRAM - 4694,Eradikera,0,0,27,26,1,0,12,15,0,0,0,27,3,0,24,27,0,27,0,20,7,23,4,27,0,24,3,27,0
Gundiganihalli,ANANTAPUR,BRAHMASAMUDRAM - 4694,Gundiganihalli,0,0,15,14,1,0,10,5,0,0,0,15,0,0,15,15,0,15,0,6,9,12,3,15,0,4,11,15,0
Kannepalle,ANANTAPUR,BRAHMASAMUDRAM - 4694,Kannepalle,0,1,23,24,0,0,10,14,0,0,0,24,0,0,24,24,0,24,0,23,1,11,13,24,0,22,2,24,0
Pillalapalle,ANANTAPUR,BRAHMASAMUDRAM - 4694,Pillalapalle,0,0,19,18,1,0,7,12,0,0,1,18,0,0,19,19,0,19,0,11,8,18,1,19,0,13,6,19,0
Santhekondapuram,ANANTAPUR,BRAHMASAMUDRAM - 4694,Santhekondapuram,0,0,26,26,0,0,11,15,0,0,2,24,0,0,26,26,0,26,0,19,7,23,3,26,0,17,9,25,1
Theetakal,ANANTAPUR,BRAHMASAMUDRAM - 4694,Theetakal,0,0,27,25,2,0,17,10,0,0,1,26,5,0,22,27,0,27,0,14,13,26,1,27,0,18,9,27,0
Vepalaparthy,ANANTAPUR,BRAHMASAMUDRAM - 4694,Vepalaparthy,0,1,18,17,2,0,9,10,0,0,0,19,0,0,19,19,0,19,0,8,11,16,3,19,0,7,12,19,0
West Kodipalle,ANANTAPUR,BRAHMASAMUDRAM - 4694,West Kodipalle,0,1,21,21,1,0,15,7,0,0,1,21,1,0,21,22,0,22,0,17,5,18,4,22,0,20,2,22,0
Yerrakondapuram,ANANTAPUR,BRAHMASAMUDRAM - 4694,Yerrakondapuram,0,0,20,20,0,0,15,5,0,0,0,20,6,0,14,20,0,20,0,5,15,19,1,20,0,19,1,20,0
