cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Danduvaripalle,0,26,2,20,0,8,10,1,17,28,0,0,26,2,0,0,28,0,28,26,2,14,14,28,0,26,2,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Reddipalle,0,47,0,40,0,7,20,2,25,47,0,0,42,5,0,0,47,0,47,41,6,29,18,47,0,35,12,47,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Govindapalle,0,23,1,15,0,9,4,0,20,24,0,0,18,6,0,0,24,0,24,24,0,11,13,24,0,20,4,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Bukkarayasamudram,0,40,2,25,0,17,27,3,12,42,0,0,35,7,2,0,40,0,42,38,4,26,16,41,0,27,15,40,2
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Bodiganidoddi,0,24,0,22,0,2,7,1,16,24,0,0,24,0,0,0,24,0,24,21,3,11,13,24,0,22,2,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Kondakinda Agraharam,0,32,2,26,0,8,9,1,24,34,0,0,32,2,2,0,32,1,33,31,3,16,18,34,0,33,1,34,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Chedulla,0,23,0,16,1,6,14,0,9,23,0,0,19,4,0,0,23,0,23,16,7,12,11,23,0,20,3,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Chennampalle,0,46,6,38,1,13,21,5,26,52,0,1,40,11,0,0,52,1,51,40,12,38,14,52,0,49,3,52,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Korrapadu,0,25,0,13,1,11,8,2,15,25,0,0,25,0,0,0,25,0,25,21,4,18,7,25,0,22,3,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Podaralla,0,20,0,10,0,10,9,2,9,20,0,0,16,4,1,0,19,2,18,20,0,13,7,18,2,20,0,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Siddarampuram,0,4,0,4,0,0,1,1,2,4,0,0,3,1,0,0,4,0,4,4,0,3,1,4,0,3,1,4,0
