State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bodiganidoddi,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Bodiganidoddi,0,0,24,22,2,0,7,16,1,0,0,24,0,0,24,24,0,24,0,21,3,11,13,24,0,22,2,24,0
Bukkarayasamudram,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Bukkarayasamudram,0,2,40,25,17,0,27,12,3,0,7,35,2,0,40,42,0,42,0,38,4,26,16,41,0,27,15,40,2
Chedulla,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Chedulla,0,0,23,16,6,1,14,9,0,0,4,19,0,0,23,23,0,23,0,16,7,12,11,23,0,20,3,23,0
Chennampalle,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Chennampalle,0,6,46,38,13,1,21,26,5,1,11,40,0,0,52,51,1,52,0,40,12,38,14,52,0,49,3,52,0
Danduvaripalle,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Danduvaripalle,0,2,26,20,8,0,10,17,1,0,2,26,0,0,28,28,0,28,0,26,2,14,14,28,0,26,2,28,0
Govindapalle,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Govindapalle,0,1,23,15,9,0,4,20,0,0,6,18,0,0,24,24,0,24,0,24,0,11,13,24,0,20,4,24,0
Kondakinda Agraharam,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Kondakinda Agraharam,0,2,32,26,8,0,9,24,1,0,2,32,2,0,32,33,1,34,0,31,3,16,18,34,0,33,1,34,0
Korrapadu,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Korrapadu,0,0,25,13,11,1,8,15,2,0,0,25,0,0,25,25,0,25,0,21,4,18,7,25,0,22,3,25,0
Podaralla,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Podaralla,0,0,20,10,10,0,9,9,2,0,4,16,1,0,19,18,2,20,0,20,0,13,7,18,2,20,0,20,0
Reddipalle,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Reddipalle,0,0,47,40,7,0,20,25,2,0,5,42,0,0,47,47,0,47,0,41,6,29,18,47,0,35,12,47,0
Siddarampuram,ANANTAPUR,BUKKARAYASAMUDRAM - 4696,Siddarampuram,0,0,4,4,0,0,1,2,1,0,1,3,0,0,4,4,0,4,0,4,0,3,1,4,0,3,1,4,0
