cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Hulikal,0,16,1,13,0,4,4,0,13,14,3,0,11,6,2,0,15,0,17,7,10,5,12,17,0,15,2,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Pulakurthi,0,4,0,4,0,0,3,0,1,4,0,0,4,0,0,0,4,0,4,2,2,2,2,4,0,2,2,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Obulapuram,0,18,0,18,0,0,16,0,2,18,0,0,18,0,2,0,16,5,13,9,9,2,16,16,2,12,6,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Dodagatta,0,11,1,11,0,1,7,0,5,10,2,0,12,0,2,0,10,0,12,4,8,4,8,12,0,12,0,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Kadalur,0,18,0,18,0,0,7,0,11,18,0,0,18,0,9,0,9,0,18,12,6,8,10,18,0,16,2,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Muradi,0,26,0,26,0,0,13,0,13,25,1,0,25,1,7,0,19,2,24,10,16,7,19,26,0,22,4,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Malapanagudi,0,21,0,21,0,0,11,0,10,21,0,0,21,0,3,0,18,2,19,11,10,1,20,21,0,16,5,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,D.Hirehal,0,13,2,11,1,3,4,0,11,12,3,0,8,7,4,0,11,0,15,4,11,8,7,14,0,15,0,14,1
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Somalapuram,0,13,4,15,0,2,8,0,9,17,0,0,15,2,1,0,16,0,17,14,3,12,5,17,0,13,4,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Kudulur,0,14,0,14,0,0,4,0,10,14,0,0,12,2,3,0,11,0,14,2,12,9,5,14,0,11,3,14,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Madenahalli,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Nagalapuram,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,Lingamanahalli,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,H.Hossahalli,0,2,0,2,0,0,0,0,2,2,0,0,2,0,1,0,1,0,2,0,2,2,0,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,D.HIREHAL - 4699,H.Siddapuram,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
