cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Ubicherla,0,22,0,19,0,3,19,0,3,20,2,0,20,2,3,0,19,0,22,15,7,20,2,22,0,20,2,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Peddoddi,0,25,0,21,0,4,23,1,1,25,0,0,25,0,6,0,19,0,25,12,13,12,13,25,0,21,4,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Erragudi,0,24,0,24,0,0,24,0,0,24,0,0,23,1,0,0,24,0,24,11,13,12,12,24,0,18,6,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Abbedoddi,1,220,8,187,0,42,125,1,103,225,4,2,207,20,15,0,214,3,226,143,86,121,108,228,1,185,44,229,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Kothapeta,0,26,0,24,0,2,25,0,1,26,0,0,25,1,2,0,24,1,25,14,12,18,8,24,2,21,5,25,1
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Brahmanapalle,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Mamadur,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Karadikonda,0,25,0,22,0,3,24,0,1,25,0,0,25,0,4,0,21,0,25,19,6,15,10,25,0,23,2,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Jakkalacheruvu,0,24,0,22,0,2,18,2,4,24,0,1,22,1,4,0,20,0,24,14,10,16,8,24,0,21,3,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Chetnepalli,0,24,0,21,0,3,21,0,3,24,0,0,24,0,10,0,14,0,24,11,13,19,5,24,0,16,8,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Kojjepalle,0,24,0,21,0,3,23,0,1,24,0,0,20,4,9,0,15,0,24,17,7,24,0,24,0,17,7,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Thondapadu,0,24,0,21,0,3,24,0,0,24,0,0,24,0,4,0,20,0,24,17,7,11,13,24,0,20,4,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Dharmapuram,0,25,1,24,0,2,16,0,10,25,1,0,23,3,1,0,25,0,26,26,0,26,0,26,0,23,3,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Basinepalle,0,24,0,21,0,3,19,0,5,24,0,0,24,0,0,0,24,0,24,16,8,23,1,24,0,20,4,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Turakapalle,0,23,0,22,0,1,23,0,0,23,0,0,21,2,3,0,20,0,23,20,3,18,5,23,0,20,3,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Gooty (Rural),0,26,0,23,0,3,21,0,5,26,0,0,25,1,1,0,25,0,26,16,10,23,3,26,0,17,9,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GOOTY - 4703,Bethapalle,0,20,0,18,0,2,18,0,2,19,1,0,19,1,1,0,19,0,20,9,11,13,7,20,0,17,3,17,3
