State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Abbedoddi,ANANTAPUR,GOOTY - 4703,Abbedoddi,1,8,220,187,42,0,125,103,1,2,20,207,15,0,214,226,3,225,4,143,86,121,108,228,1,185,44,229,0
Basinepalle,ANANTAPUR,GOOTY - 4703,Basinepalle,0,0,24,21,3,0,19,5,0,0,0,24,0,0,24,24,0,24,0,16,8,23,1,24,0,20,4,24,0
Bethapalle,ANANTAPUR,GOOTY - 4703,Bethapalle,0,0,20,18,2,0,18,2,0,0,1,19,1,0,19,20,0,19,1,9,11,13,7,20,0,17,3,17,3
Brahmanapalle,ANANTAPUR,GOOTY - 4703,Brahmanapalle,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Chetnepalli,ANANTAPUR,GOOTY - 4703,Chetnepalli,0,0,24,21,3,0,21,3,0,0,0,24,10,0,14,24,0,24,0,11,13,19,5,24,0,16,8,24,0
Dharmapuram,ANANTAPUR,GOOTY - 4703,Dharmapuram,0,1,25,24,2,0,16,10,0,0,3,23,1,0,25,26,0,25,1,26,0,26,0,26,0,23,3,26,0
Erragudi,ANANTAPUR,GOOTY - 4703,Erragudi,0,0,24,24,0,0,24,0,0,0,1,23,0,0,24,24,0,24,0,11,13,12,12,24,0,18,6,24,0
Gooty (Rural),ANANTAPUR,GOOTY - 4703,Gooty (Rural),0,0,26,23,3,0,21,5,0,0,1,25,1,0,25,26,0,26,0,16,10,23,3,26,0,17,9,26,0
Jakkalacheruvu,ANANTAPUR,GOOTY - 4703,Jakkalacheruvu,0,0,24,22,2,0,18,4,2,1,1,22,4,0,20,24,0,24,0,14,10,16,8,24,0,21,3,24,0
Karadikonda,ANANTAPUR,GOOTY - 4703,Karadikonda,0,0,25,22,3,0,24,1,0,0,0,25,4,0,21,25,0,25,0,19,6,15,10,25,0,23,2,25,0
Kojjepalle,ANANTAPUR,GOOTY - 4703,Kojjepalle,0,0,24,21,3,0,23,1,0,0,4,20,9,0,15,24,0,24,0,17,7,24,0,24,0,17,7,24,0
Kothapeta,ANANTAPUR,GOOTY - 4703,Kothapeta,0,0,26,24,2,0,25,1,0,0,1,25,2,0,24,25,1,26,0,14,12,18,8,24,2,21,5,25,1
Mamadur,ANANTAPUR,GOOTY - 4703,Mamadur,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Peddoddi,ANANTAPUR,GOOTY - 4703,Peddoddi,0,0,25,21,4,0,23,1,1,0,0,25,6,0,19,25,0,25,0,12,13,12,13,25,0,21,4,25,0
Thondapadu,ANANTAPUR,GOOTY - 4703,Thondapadu,0,0,24,21,3,0,24,0,0,0,0,24,4,0,20,24,0,24,0,17,7,11,13,24,0,20,4,24,0
Turakapalle,ANANTAPUR,GOOTY - 4703,Turakapalle,0,0,23,22,1,0,23,0,0,0,2,21,3,0,20,23,0,23,0,20,3,18,5,23,0,20,3,23,0
Ubicherla,ANANTAPUR,GOOTY - 4703,Ubicherla,0,0,22,19,3,0,19,3,0,0,2,20,3,0,19,22,0,20,2,15,7,20,2,22,0,20,2,22,0
