cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Bhupasamudram,0,42,0,24,0,18,25,0,17,40,2,0,41,1,0,0,42,0,42,15,27,29,13,42,0,36,6,42,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Gummagatta,0,62,2,50,0,14,42,0,22,62,2,0,62,2,2,0,62,2,62,35,29,49,15,64,0,53,11,64,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Pulakunta,0,63,0,52,0,11,51,0,12,61,2,0,61,2,0,0,63,0,63,47,16,42,21,61,2,52,11,63,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Kalugodu,0,52,0,43,0,9,42,0,10,49,3,0,52,0,4,0,48,0,52,37,15,51,1,52,0,42,10,52,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Gollapalle,0,34,0,21,0,13,20,0,14,33,1,0,34,0,0,0,34,0,34,21,13,19,15,33,1,27,7,34,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Tallakera,0,52,0,39,0,13,36,0,16,50,2,0,51,1,1,0,51,0,52,31,21,28,24,50,2,40,12,52,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Veerapuram,0,29,0,21,0,8,18,0,11,26,3,0,29,0,0,0,29,0,29,24,5,24,5,29,0,27,2,29,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Galagala,0,24,0,20,0,4,21,0,3,23,1,0,22,2,0,0,24,0,24,21,3,12,12,24,0,18,6,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Belodu,0,20,0,19,0,1,17,0,3,16,4,0,15,5,3,0,17,0,20,15,5,13,7,20,0,12,8,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,Rangasamudram,0,32,0,23,0,9,23,0,9,28,4,0,30,2,0,0,32,0,32,21,11,18,14,32,0,24,8,32,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUMMAGATTA - 4706,S.Hosahalli,0,6,0,5,0,1,4,0,2,5,1,0,6,0,0,0,6,0,6,1,5,5,1,6,0,5,1,6,0
