State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Belodu,ANANTAPUR,GUMMAGATTA - 4706,Belodu,0,0,20,19,1,0,17,3,0,0,5,15,3,0,17,20,0,16,4,15,5,13,7,20,0,12,8,20,0
Bhupasamudram,ANANTAPUR,GUMMAGATTA - 4706,Bhupasamudram,0,0,42,24,18,0,25,17,0,0,1,41,0,0,42,42,0,40,2,15,27,29,13,42,0,36,6,42,0
Galagala,ANANTAPUR,GUMMAGATTA - 4706,Galagala,0,0,24,20,4,0,21,3,0,0,2,22,0,0,24,24,0,23,1,21,3,12,12,24,0,18,6,24,0
Gollapalle,ANANTAPUR,GUMMAGATTA - 4706,Gollapalle,0,0,34,21,13,0,20,14,0,0,0,34,0,0,34,34,0,33,1,21,13,19,15,33,1,27,7,34,0
Gummagatta,ANANTAPUR,GUMMAGATTA - 4706,Gummagatta,0,2,62,50,14,0,42,22,0,0,2,62,2,0,62,62,2,62,2,35,29,49,15,64,0,53,11,64,0
Kalugodu,ANANTAPUR,GUMMAGATTA - 4706,Kalugodu,0,0,52,43,9,0,42,10,0,0,0,52,4,0,48,52,0,49,3,37,15,51,1,52,0,42,10,52,0
Pulakunta,ANANTAPUR,GUMMAGATTA - 4706,Pulakunta,0,0,63,52,11,0,51,12,0,0,2,61,0,0,63,63,0,61,2,47,16,42,21,61,2,52,11,63,0
Rangasamudram,ANANTAPUR,GUMMAGATTA - 4706,Rangasamudram,0,0,32,23,9,0,23,9,0,0,2,30,0,0,32,32,0,28,4,21,11,18,14,32,0,24,8,32,0
S.Hosahalli,ANANTAPUR,GUMMAGATTA - 4706,S.Hosahalli,0,0,6,5,1,0,4,2,0,0,0,6,0,0,6,6,0,5,1,1,5,5,1,6,0,5,1,6,0
Tallakera,ANANTAPUR,GUMMAGATTA - 4706,Tallakera,0,0,52,39,13,0,36,16,0,0,1,51,1,0,51,52,0,50,2,31,21,28,24,50,2,40,12,52,0
Veerapuram,ANANTAPUR,GUMMAGATTA - 4706,Veerapuram,0,0,29,21,8,0,18,11,0,0,0,29,0,0,29,29,0,26,3,24,5,24,5,29,0,27,2,29,0
