cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Guntakal (R),0,24,3,25,0,2,15,0,12,27,0,0,23,4,0,0,27,0,27,24,3,25,2,27,0,22,5,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Ayyavaripalle,0,21,1,20,0,2,19,0,3,22,0,0,19,3,0,0,22,0,22,16,6,8,14,22,0,19,3,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Nelagonda,0,20,0,18,0,2,12,0,8,20,0,0,20,0,0,0,20,0,20,17,3,13,7,20,0,15,5,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Thimmapuram,0,22,1,20,0,3,8,0,15,23,0,1,22,0,0,0,23,0,23,15,8,23,0,23,0,20,3,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Donimukkala,0,20,2,21,0,1,15,0,7,22,0,0,20,2,0,0,22,0,22,17,5,18,4,22,0,18,4,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Dancherla,0,22,0,22,0,0,14,0,8,22,0,0,21,1,0,0,22,0,22,16,6,22,0,22,0,16,6,20,2
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Nagasamudram,0,40,1,41,0,0,17,0,24,41,0,0,40,1,0,0,41,0,41,34,7,9,32,41,0,33,8,40,1
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Patha Kothachervu,0,22,0,20,0,2,9,0,13,22,0,0,22,0,0,0,22,0,22,22,0,22,0,22,0,18,4,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Nakkanadoddi,0,25,0,25,0,0,16,0,9,25,0,0,23,2,0,0,25,0,25,16,9,25,0,25,0,19,6,23,2
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Dosaludiki,0,22,0,21,0,1,7,0,15,22,0,0,21,1,0,0,22,0,22,22,0,22,0,22,0,19,3,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Kasapuram,0,19,2,20,0,1,7,0,14,21,0,0,21,0,0,0,21,0,21,20,1,21,0,21,0,17,4,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Yerrathimmarayachervu,0,21,1,20,0,2,7,0,15,22,0,0,20,2,0,0,22,1,21,21,1,22,0,22,0,21,1,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Obulapuram,0,16,4,18,0,2,3,0,17,20,0,0,20,0,0,0,20,0,20,20,0,20,0,20,0,17,3,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,GUNTAKAL - 4707,Konganapalle,0,21,0,19,0,2,3,0,18,21,0,0,20,1,0,0,21,0,21,21,0,21,0,21,0,18,3,21,0
