State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Ayyavaripalle,ANANTAPUR,GUNTAKAL - 4707,Ayyavaripalle,0,1,21,20,2,0,19,3,0,0,3,19,0,0,22,22,0,22,0,16,6,8,14,22,0,19,3,21,0
Dancherla,ANANTAPUR,GUNTAKAL - 4707,Dancherla,0,0,22,22,0,0,14,8,0,0,1,21,0,0,22,22,0,22,0,16,6,22,0,22,0,16,6,20,2
Donimukkala,ANANTAPUR,GUNTAKAL - 4707,Donimukkala,0,2,20,21,1,0,15,7,0,0,2,20,0,0,22,22,0,22,0,17,5,18,4,22,0,18,4,22,0
Dosaludiki,ANANTAPUR,GUNTAKAL - 4707,Dosaludiki,0,0,22,21,1,0,7,15,0,0,1,21,0,0,22,22,0,22,0,22,0,22,0,22,0,19,3,22,0
Guntakal (R),ANANTAPUR,GUNTAKAL - 4707,Guntakal (R),0,3,24,25,2,0,15,12,0,0,4,23,0,0,27,27,0,27,0,24,3,25,2,27,0,22,5,26,0
Kasapuram,ANANTAPUR,GUNTAKAL - 4707,Kasapuram,0,2,19,20,1,0,7,14,0,0,0,21,0,0,21,21,0,21,0,20,1,21,0,21,0,17,4,21,0
Konganapalle,ANANTAPUR,GUNTAKAL - 4707,Konganapalle,0,0,21,19,2,0,3,18,0,0,1,20,0,0,21,21,0,21,0,21,0,21,0,21,0,18,3,21,0
Nagasamudram,ANANTAPUR,GUNTAKAL - 4707,Nagasamudram,0,1,40,41,0,0,17,24,0,0,1,40,0,0,41,41,0,41,0,34,7,9,32,41,0,33,8,40,1
Nakkanadoddi,ANANTAPUR,GUNTAKAL - 4707,Nakkanadoddi,0,0,25,25,0,0,16,9,0,0,2,23,0,0,25,25,0,25,0,16,9,25,0,25,0,19,6,23,2
Nelagonda,ANANTAPUR,GUNTAKAL - 4707,Nelagonda,0,0,20,18,2,0,12,8,0,0,0,20,0,0,20,20,0,20,0,17,3,13,7,20,0,15,5,20,0
Obulapuram,ANANTAPUR,GUNTAKAL - 4707,Obulapuram,0,4,16,18,2,0,3,17,0,0,0,20,0,0,20,20,0,20,0,20,0,20,0,20,0,17,3,20,0
Patha Kothachervu,ANANTAPUR,GUNTAKAL - 4707,Patha Kothachervu,0,0,22,20,2,0,9,13,0,0,0,22,0,0,22,22,0,22,0,22,0,22,0,22,0,18,4,22,0
Thimmapuram,ANANTAPUR,GUNTAKAL - 4707,Thimmapuram,0,1,22,20,3,0,8,15,0,1,0,22,0,0,23,23,0,23,0,15,8,23,0,23,0,20,3,23,0
Yerrathimmarayachervu,ANANTAPUR,GUNTAKAL - 4707,Yerrathimmarayachervu,0,1,21,20,2,0,7,15,0,0,2,20,0,0,22,21,1,22,0,21,1,22,0,22,0,21,1,22,0
