cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Garudapuram,0,52,0,36,0,16,33,0,19,47,5,0,50,2,0,0,52,0,52,43,9,34,18,52,0,29,23,52,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Duradakunta,0,30,0,20,0,10,17,0,13,28,2,0,28,2,0,0,30,0,30,26,4,14,16,30,0,15,15,29,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Golla,0,23,0,17,0,6,14,0,9,21,2,0,22,1,0,0,23,0,23,21,2,19,4,23,0,14,9,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Manirevu,0,16,0,11,0,5,10,0,6,15,1,0,14,2,0,0,16,0,16,12,4,9,7,16,0,13,3,16,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Thimmasamudram,0,25,0,20,0,5,15,0,10,23,2,0,25,0,0,0,25,0,25,23,2,12,13,25,0,24,1,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,East Kodipalle,0,24,0,14,0,10,18,0,6,20,4,0,23,1,0,0,24,0,24,19,5,17,7,24,0,17,7,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Chapiri,0,20,0,17,0,3,13,0,7,18,2,0,19,1,0,0,20,0,20,15,5,13,7,20,0,17,3,20,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Hulikal,0,17,0,15,0,2,10,0,7,16,1,0,17,0,0,0,17,0,17,14,3,12,5,16,1,12,5,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Muddinayanapalle,0,26,0,22,0,4,21,1,4,23,3,0,26,0,0,0,26,0,26,22,4,12,14,25,1,19,7,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Bedrahalli,0,25,0,18,0,7,15,0,10,22,3,0,24,1,0,0,25,0,25,24,1,18,7,25,0,24,1,23,1
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Palavoy,0,43,2,31,0,14,28,0,17,44,1,0,42,3,1,0,44,0,45,42,3,34,11,45,0,35,10,45,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Mudigal,0,51,0,30,0,21,32,0,19,47,4,0,51,0,0,0,51,0,51,43,8,34,17,50,1,40,11,51,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Kalyandurg (Rural),0,48,1,33,0,16,29,0,20,47,2,0,49,0,1,0,48,0,49,36,13,38,11,49,0,31,18,49,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Kurubarahalli,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KALYANDRUG - 4710,Kalyandurg (CT),0,18,0,10,0,8,9,0,9,13,5,0,18,0,0,0,18,0,18,17,1,10,8,18,0,14,4,18,0
