State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bedrahalli,ANANTAPUR,KALYANDRUG - 4710,Bedrahalli,0,0,25,18,7,0,15,10,0,0,1,24,0,0,25,25,0,22,3,24,1,18,7,25,0,24,1,23,1
Chapiri,ANANTAPUR,KALYANDRUG - 4710,Chapiri,0,0,20,17,3,0,13,7,0,0,1,19,0,0,20,20,0,18,2,15,5,13,7,20,0,17,3,20,0
Duradakunta,ANANTAPUR,KALYANDRUG - 4710,Duradakunta,0,0,30,20,10,0,17,13,0,0,2,28,0,0,30,30,0,28,2,26,4,14,16,30,0,15,15,29,0
East Kodipalle,ANANTAPUR,KALYANDRUG - 4710,East Kodipalle,0,0,24,14,10,0,18,6,0,0,1,23,0,0,24,24,0,20,4,19,5,17,7,24,0,17,7,24,0
Garudapuram,ANANTAPUR,KALYANDRUG - 4710,Garudapuram,0,0,52,36,16,0,33,19,0,0,2,50,0,0,52,52,0,47,5,43,9,34,18,52,0,29,23,52,0
Golla,ANANTAPUR,KALYANDRUG - 4710,Golla,0,0,23,17,6,0,14,9,0,0,1,22,0,0,23,23,0,21,2,21,2,19,4,23,0,14,9,23,0
Hulikal,ANANTAPUR,KALYANDRUG - 4710,Hulikal,0,0,17,15,2,0,10,7,0,0,0,17,0,0,17,17,0,16,1,14,3,12,5,16,1,12,5,17,0
Kalyandurg (CT),ANANTAPUR,KALYANDRUG - 4710,Kalyandurg (CT),0,0,18,10,8,0,9,9,0,0,0,18,0,0,18,18,0,13,5,17,1,10,8,18,0,14,4,18,0
Kalyandurg (Rural),ANANTAPUR,KALYANDRUG - 4710,Kalyandurg (Rural),0,1,48,33,16,0,29,20,0,0,0,49,1,0,48,49,0,47,2,36,13,38,11,49,0,31,18,49,0
Kurubarahalli,ANANTAPUR,KALYANDRUG - 4710,Kurubarahalli,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
Manirevu,ANANTAPUR,KALYANDRUG - 4710,Manirevu,0,0,16,11,5,0,10,6,0,0,2,14,0,0,16,16,0,15,1,12,4,9,7,16,0,13,3,16,0
Muddinayanapalle,ANANTAPUR,KALYANDRUG - 4710,Muddinayanapalle,0,0,26,22,4,0,21,4,1,0,0,26,0,0,26,26,0,23,3,22,4,12,14,25,1,19,7,26,0
Mudigal,ANANTAPUR,KALYANDRUG - 4710,Mudigal,0,0,51,30,21,0,32,19,0,0,0,51,0,0,51,51,0,47,4,43,8,34,17,50,1,40,11,51,0
Palavoy,ANANTAPUR,KALYANDRUG - 4710,Palavoy,0,2,43,31,14,0,28,17,0,0,3,42,1,0,44,45,0,44,1,42,3,34,11,45,0,35,10,45,0
Thimmasamudram,ANANTAPUR,KALYANDRUG - 4710,Thimmasamudram,0,0,25,20,5,0,15,10,0,0,0,25,0,0,25,25,0,23,2,23,2,12,13,25,0,24,1,25,0
