cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Kurakulapalle,0,12,0,12,0,0,10,0,2,12,0,0,12,0,0,0,12,0,12,4,8,2,10,12,0,9,3,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Pallur,0,36,1,29,0,8,28,1,8,36,1,0,35,2,0,0,37,0,37,20,17,22,15,37,0,31,6,32,5
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Mulakanur,1,64,2,46,0,21,45,2,20,65,2,0,65,2,1,0,66,0,67,46,21,35,32,67,0,58,9,61,6
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Ralla Anantapuram,0,19,1,14,0,6,15,0,5,18,2,0,20,0,0,0,20,0,20,12,8,11,9,20,0,17,3,18,2
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Nuthimadugu,0,21,0,11,0,10,9,0,12,21,0,0,20,1,0,0,21,0,21,7,14,16,5,21,0,17,4,19,2
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Kambadur,0,93,3,70,0,26,77,0,19,93,3,0,93,3,0,0,96,0,96,51,45,42,54,96,0,87,9,89,7
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Gulyam,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,3,0,3,0,3,0,2,1,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Chennampalle,0,25,0,21,0,4,11,1,13,24,1,0,25,0,0,0,25,0,25,8,17,11,14,25,0,22,3,24,1
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Ramapuram,0,32,0,21,0,11,20,0,12,30,2,0,32,0,0,0,32,0,32,20,12,16,16,32,0,27,5,28,4
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Thimmapuram,0,51,1,34,0,18,37,0,15,50,2,0,52,0,0,0,52,0,52,34,18,31,21,52,0,45,7,48,4
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Karthanaparthi,0,12,0,10,0,2,8,0,4,12,0,0,12,0,0,0,12,0,12,11,1,5,7,12,0,12,0,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KAMBADUR - 4711,Rallapalle,0,3,0,2,0,1,3,0,0,2,1,0,3,0,0,0,3,0,3,3,0,3,0,3,0,3,0,3,0
