State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chennampalle,ANANTAPUR,KAMBADUR - 4711,Chennampalle,0,0,25,21,4,0,11,13,1,0,0,25,0,0,25,25,0,24,1,8,17,11,14,25,0,22,3,24,1
Gulyam,ANANTAPUR,KAMBADUR - 4711,Gulyam,0,0,3,3,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,3,0,3,0,3,0,2,1,3,0
Kambadur,ANANTAPUR,KAMBADUR - 4711,Kambadur,0,3,93,70,26,0,77,19,0,0,3,93,0,0,96,96,0,93,3,51,45,42,54,96,0,87,9,89,7
Karthanaparthi,ANANTAPUR,KAMBADUR - 4711,Karthanaparthi,0,0,12,10,2,0,8,4,0,0,0,12,0,0,12,12,0,12,0,11,1,5,7,12,0,12,0,12,0
Kurakulapalle,ANANTAPUR,KAMBADUR - 4711,Kurakulapalle,0,0,12,12,0,0,10,2,0,0,0,12,0,0,12,12,0,12,0,4,8,2,10,12,0,9,3,12,0
Mulakanur,ANANTAPUR,KAMBADUR - 4711,Mulakanur,1,2,64,46,21,0,45,20,2,0,2,65,1,0,66,67,0,65,2,46,21,35,32,67,0,58,9,61,6
Nuthimadugu,ANANTAPUR,KAMBADUR - 4711,Nuthimadugu,0,0,21,11,10,0,9,12,0,0,1,20,0,0,21,21,0,21,0,7,14,16,5,21,0,17,4,19,2
Pallur,ANANTAPUR,KAMBADUR - 4711,Pallur,0,1,36,29,8,0,28,8,1,0,2,35,0,0,37,37,0,36,1,20,17,22,15,37,0,31,6,32,5
Ralla Anantapuram,ANANTAPUR,KAMBADUR - 4711,Ralla Anantapuram,0,1,19,14,6,0,15,5,0,0,0,20,0,0,20,20,0,18,2,12,8,11,9,20,0,17,3,18,2
Rallapalle,ANANTAPUR,KAMBADUR - 4711,Rallapalle,0,0,3,2,1,0,3,0,0,0,0,3,0,0,3,3,0,2,1,3,0,3,0,3,0,3,0,3,0
Ramapuram,ANANTAPUR,KAMBADUR - 4711,Ramapuram,0,0,32,21,11,0,20,12,0,0,0,32,0,0,32,32,0,30,2,20,12,16,16,32,0,27,5,28,4
Thimmapuram,ANANTAPUR,KAMBADUR - 4711,Thimmapuram,0,1,51,34,18,0,37,15,0,0,0,52,0,0,52,52,0,50,2,34,18,31,21,52,0,45,7,48,4
