cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Bennikal,0,22,0,21,0,1,16,0,6,22,0,0,16,6,1,0,21,0,22,20,2,21,1,22,0,15,7,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Garudachedu,0,24,0,12,0,12,24,0,0,24,0,0,24,0,0,0,24,0,24,20,4,14,10,24,0,24,0,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Hulikera,0,35,0,24,0,11,22,3,10,35,0,0,26,9,0,0,35,0,35,33,2,29,6,35,0,29,6,35,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Kanekal,0,78,0,68,0,10,56,2,20,78,0,0,55,23,2,0,76,0,78,73,5,51,27,77,0,69,9,77,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Kalekurthi,0,9,0,8,0,1,8,0,1,9,0,0,7,2,0,0,9,0,9,7,2,6,3,9,0,9,0,9,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,N.Hanumapuram,0,24,0,23,0,1,15,2,7,24,0,0,14,10,2,0,22,0,24,24,0,13,11,24,0,21,3,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Malyam,0,26,0,23,0,3,24,0,2,26,0,0,13,13,0,0,26,0,26,20,6,16,10,26,0,17,9,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Hanakanahal,0,24,0,20,0,4,22,0,2,24,0,0,15,9,2,0,22,0,24,24,0,21,3,23,0,21,3,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Ganigera,0,37,0,32,0,5,24,0,13,37,0,0,27,10,0,0,37,0,37,33,4,27,10,37,0,33,4,37,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Yerragunta,0,44,2,31,0,15,25,0,21,46,0,0,43,3,1,0,45,0,46,41,5,26,20,46,0,43,3,46,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Sollapuram,0,29,0,21,1,7,27,0,2,29,0,0,28,1,8,0,21,0,29,21,8,20,9,29,0,28,1,29,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Udegolam,0,16,0,13,0,3,16,0,0,16,0,0,15,1,1,0,15,0,16,11,5,7,9,16,0,16,0,16,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Brahmasamudram,0,3,1,4,0,0,4,0,0,4,0,0,3,1,0,0,4,0,4,3,1,2,2,4,0,3,1,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Thumbiganur,0,23,0,20,0,3,20,0,3,23,0,0,20,3,4,0,19,0,23,16,7,13,10,23,0,15,8,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KANEKAL - 4713,Ratchumarri,0,20,0,18,1,1,10,0,10,20,0,0,18,2,0,0,20,0,20,15,5,14,6,20,0,13,7,20,0
