cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Udiripikonda,0,25,0,21,0,4,20,0,5,25,0,0,25,0,1,0,24,5,20,11,14,3,22,25,0,20,5,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Kudair,0,26,2,24,1,3,21,0,7,28,0,2,25,1,0,0,28,0,28,15,13,16,12,28,0,23,5,27,1
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Ipperu,0,43,2,43,0,2,42,0,3,45,0,0,43,2,0,0,45,2,43,21,24,16,29,45,0,41,4,44,1
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Kalagalla,0,25,0,22,2,1,17,0,8,25,0,0,25,0,0,0,25,4,21,13,12,10,15,25,0,25,0,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Cholasamudram,0,22,2,21,2,1,19,0,5,24,0,0,23,1,0,0,24,0,24,24,0,2,22,24,0,21,3,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Thimmapuram,0,24,0,21,1,2,6,0,18,24,0,0,24,0,1,0,23,0,24,20,4,17,7,24,0,11,13,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Brahmanapalle,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Kamuru,0,25,0,22,0,3,11,0,14,25,0,0,24,1,3,0,22,0,25,13,12,13,12,25,0,13,12,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Gotukur,0,23,1,20,1,3,23,0,1,24,0,0,22,2,0,0,24,2,22,24,0,4,20,24,0,19,5,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Marutla,2,21,0,21,1,1,20,0,3,23,0,0,23,0,0,0,23,4,19,10,13,2,21,23,0,23,0,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Korrakodu,0,23,0,21,0,2,19,0,4,23,0,0,23,0,0,0,23,2,21,13,10,4,19,22,0,21,2,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,KUDAIR - 4715,Mavinamardhanahalli,0,25,0,25,0,0,9,0,16,25,0,0,25,0,0,0,25,0,25,24,1,14,11,25,0,17,8,25,0
