State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Brahmanapalle,ANANTAPUR,KUDAIR - 4715,Brahmanapalle,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Cholasamudram,ANANTAPUR,KUDAIR - 4715,Cholasamudram,0,2,22,21,1,2,19,5,0,0,1,23,0,0,24,24,0,24,0,24,0,2,22,24,0,21,3,24,0
Gotukur,ANANTAPUR,KUDAIR - 4715,Gotukur,0,1,23,20,3,1,23,1,0,0,2,22,0,0,24,22,2,24,0,24,0,4,20,24,0,19,5,24,0
Ipperu,ANANTAPUR,KUDAIR - 4715,Ipperu,0,2,43,43,2,0,42,3,0,0,2,43,0,0,45,43,2,45,0,21,24,16,29,45,0,41,4,44,1
Kalagalla,ANANTAPUR,KUDAIR - 4715,Kalagalla,0,0,25,22,1,2,17,8,0,0,0,25,0,0,25,21,4,25,0,13,12,10,15,25,0,25,0,25,0
Kamuru,ANANTAPUR,KUDAIR - 4715,Kamuru,0,0,25,22,3,0,11,14,0,0,1,24,3,0,22,25,0,25,0,13,12,13,12,25,0,13,12,25,0
Korrakodu,ANANTAPUR,KUDAIR - 4715,Korrakodu,0,0,23,21,2,0,19,4,0,0,0,23,0,0,23,21,2,23,0,13,10,4,19,22,0,21,2,23,0
Kudair,ANANTAPUR,KUDAIR - 4715,Kudair,0,2,26,24,3,1,21,7,0,2,1,25,0,0,28,28,0,28,0,15,13,16,12,28,0,23,5,27,1
Marutla,ANANTAPUR,KUDAIR - 4715,Marutla,2,0,21,21,1,1,20,3,0,0,0,23,0,0,23,19,4,23,0,10,13,2,21,23,0,23,0,23,0
Mavinamardhanahalli,ANANTAPUR,KUDAIR - 4715,Mavinamardhanahalli,0,0,25,25,0,0,9,16,0,0,0,25,0,0,25,25,0,25,0,24,1,14,11,25,0,17,8,25,0
Thimmapuram,ANANTAPUR,KUDAIR - 4715,Thimmapuram,0,0,24,21,2,1,6,18,0,0,0,24,1,0,23,24,0,24,0,20,4,17,7,24,0,11,13,24,0
Udiripikonda,ANANTAPUR,KUDAIR - 4715,Udiripikonda,0,0,25,21,4,0,20,5,0,0,0,25,1,0,24,20,5,25,0,11,14,3,22,25,0,20,5,25,0
