cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Venkatampalle,0,9,0,7,0,2,3,0,6,9,0,0,9,0,0,0,9,0,9,8,1,3,6,9,0,8,1,9,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Duggumarri,0,25,0,22,0,3,16,0,9,25,0,0,25,0,0,0,25,0,25,17,8,17,8,24,1,19,6,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Bondalawada,0,25,0,21,0,4,12,0,13,25,0,0,23,2,0,0,25,0,25,23,2,14,11,24,1,11,14,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,B.Pappuru,0,28,0,20,0,8,18,0,10,28,0,0,28,0,0,0,28,0,28,28,0,15,13,28,0,18,10,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Haveli Sodanapalle,0,27,0,21,0,6,13,0,14,27,0,0,27,0,0,0,27,0,27,20,7,15,12,27,0,20,7,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Bandlapalle,0,4,0,4,0,0,3,0,1,4,0,0,4,0,0,0,4,0,4,4,0,2,2,3,1,4,0,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Chamaluru,0,52,0,44,0,8,32,0,20,52,0,0,50,2,0,0,52,0,52,40,12,30,22,52,0,49,3,50,2
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Nadimidoddi,0,27,0,26,0,1,15,0,12,27,0,0,25,2,0,0,27,0,27,24,3,15,12,27,0,22,5,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Narpala,0,145,1,120,0,26,80,0,66,146,0,0,136,10,0,0,146,0,146,109,37,85,61,146,0,123,23,146,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Siddaracherla,0,1,1,2,0,0,1,0,1,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,1,1,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,NARPALA - 4723,Gugudu,0,52,0,42,0,10,26,0,26,52,0,0,49,3,0,0,52,0,52,48,4,29,23,51,1,40,12,52,0
