State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
B.Pappuru,ANANTAPUR,NARPALA - 4723,B.Pappuru,0,0,28,20,8,0,18,10,0,0,0,28,0,0,28,28,0,28,0,28,0,15,13,28,0,18,10,28,0
Bandlapalle,ANANTAPUR,NARPALA - 4723,Bandlapalle,0,0,4,4,0,0,3,1,0,0,0,4,0,0,4,4,0,4,0,4,0,2,2,3,1,4,0,4,0
Bondalawada,ANANTAPUR,NARPALA - 4723,Bondalawada,0,0,25,21,4,0,12,13,0,0,2,23,0,0,25,25,0,25,0,23,2,14,11,24,1,11,14,25,0
Chamaluru,ANANTAPUR,NARPALA - 4723,Chamaluru,0,0,52,44,8,0,32,20,0,0,2,50,0,0,52,52,0,52,0,40,12,30,22,52,0,49,3,50,2
Duggumarri,ANANTAPUR,NARPALA - 4723,Duggumarri,0,0,25,22,3,0,16,9,0,0,0,25,0,0,25,25,0,25,0,17,8,17,8,24,1,19,6,25,0
Gugudu,ANANTAPUR,NARPALA - 4723,Gugudu,0,0,52,42,10,0,26,26,0,0,3,49,0,0,52,52,0,52,0,48,4,29,23,51,1,40,12,52,0
Haveli Sodanapalle,ANANTAPUR,NARPALA - 4723,Haveli Sodanapalle,0,0,27,21,6,0,13,14,0,0,0,27,0,0,27,27,0,27,0,20,7,15,12,27,0,20,7,27,0
Nadimidoddi,ANANTAPUR,NARPALA - 4723,Nadimidoddi,0,0,27,26,1,0,15,12,0,0,2,25,0,0,27,27,0,27,0,24,3,15,12,27,0,22,5,27,0
Narpala,ANANTAPUR,NARPALA - 4723,Narpala,0,1,145,120,26,0,80,66,0,0,10,136,0,0,146,146,0,146,0,109,37,85,61,146,0,123,23,146,0
Siddaracherla,ANANTAPUR,NARPALA - 4723,Siddaracherla,0,1,1,2,0,0,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0,1,1,2,0
Venkatampalle,ANANTAPUR,NARPALA - 4723,Venkatampalle,0,0,9,7,2,0,3,6,0,0,0,9,0,0,9,9,0,9,0,8,1,3,6,9,0,8,1,9,0
