cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Gulimikondla @ G.Kottala,0,17,0,14,0,3,15,1,1,17,0,0,17,0,0,0,17,0,17,15,2,12,5,17,0,16,1,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Akkajampalle,0,45,0,35,0,10,28,1,16,43,2,0,42,3,3,0,42,1,44,35,10,29,16,45,0,38,7,45,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Khadarpeta,0,14,0,14,0,0,13,0,1,14,0,0,14,0,0,0,14,0,14,8,6,8,6,14,0,11,3,13,1
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Ramarajupalle,0,9,0,9,0,0,4,1,4,9,0,0,9,0,0,0,9,0,9,8,1,9,0,9,0,9,0,9,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Palyam,0,27,0,22,0,5,22,0,5,27,0,0,27,0,0,0,27,0,27,22,5,22,5,27,0,10,17,23,4
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Anumpalle,0,33,2,30,0,5,15,5,15,35,0,0,35,0,0,0,35,0,35,31,4,31,4,35,0,33,2,35,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Vankarajukalva,0,19,3,20,0,2,21,0,1,22,0,0,22,0,0,0,22,0,22,18,4,16,6,22,0,22,0,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Eddulapalle,0,31,0,28,0,3,26,0,5,31,0,0,28,3,0,0,31,0,31,18,13,26,5,31,0,27,4,30,1
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Kandlapalle,0,13,0,10,0,3,11,0,2,13,0,0,12,1,0,0,13,0,13,13,0,10,3,13,0,12,1,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Devarapalle,0,14,0,13,0,1,9,0,5,14,0,0,14,0,0,0,14,0,14,12,2,11,3,14,0,7,7,14,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Gajarampalle,0,13,0,9,0,4,8,0,5,13,0,0,12,1,0,0,13,0,13,9,4,10,3,13,0,3,10,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Ramagiri,0,28,0,19,0,9,22,0,6,28,0,0,27,1,0,0,28,0,28,20,8,23,5,28,0,25,3,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Kalapuram,0,11,0,8,0,3,10,0,1,11,0,0,11,0,0,0,11,0,11,11,0,8,3,11,0,8,3,11,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Pamidi,0,17,0,11,0,6,9,0,8,17,0,0,16,1,0,0,17,0,17,16,1,15,2,17,0,9,8,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Thamballapalle,0,11,0,7,0,4,10,0,1,11,0,0,11,0,0,0,11,0,11,11,0,8,3,11,0,4,7,11,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Neelur,0,19,0,15,0,4,17,0,2,19,0,0,19,0,0,0,19,0,19,15,4,12,7,19,0,9,10,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Katrimala,0,14,1,12,0,3,6,0,9,15,0,1,12,2,0,0,15,0,15,13,2,14,1,15,0,8,7,13,2
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Nemallapalle,0,4,0,4,0,0,3,0,1,4,0,0,4,0,0,0,4,0,4,4,0,0,4,4,0,2,2,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Edurur,0,6,0,6,0,0,6,0,0,6,0,0,6,0,0,0,6,0,6,6,0,4,2,6,0,6,0,4,2
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Appajipeta,0,2,0,1,0,1,0,0,2,2,0,0,2,0,0,0,2,0,2,2,0,1,1,2,0,1,1,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PAMIDI - 4725,Sorakayalapeta,0,4,1,5,0,0,3,0,2,5,0,1,4,0,0,0,5,0,5,4,1,4,1,5,0,4,1,5,0
