State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akkajampalle,ANANTAPUR,PAMIDI - 4725,Akkajampalle,0,0,45,35,10,0,28,16,1,0,3,42,3,0,42,44,1,43,2,35,10,29,16,45,0,38,7,45,0
Anumpalle,ANANTAPUR,PAMIDI - 4725,Anumpalle,0,2,33,30,5,0,15,15,5,0,0,35,0,0,35,35,0,35,0,31,4,31,4,35,0,33,2,35,0
Appajipeta,ANANTAPUR,PAMIDI - 4725,Appajipeta,0,0,2,1,1,0,0,2,0,0,0,2,0,0,2,2,0,2,0,2,0,1,1,2,0,1,1,2,0
Devarapalle,ANANTAPUR,PAMIDI - 4725,Devarapalle,0,0,14,13,1,0,9,5,0,0,0,14,0,0,14,14,0,14,0,12,2,11,3,14,0,7,7,14,0
Eddulapalle,ANANTAPUR,PAMIDI - 4725,Eddulapalle,0,0,31,28,3,0,26,5,0,0,3,28,0,0,31,31,0,31,0,18,13,26,5,31,0,27,4,30,1
Edurur,ANANTAPUR,PAMIDI - 4725,Edurur,0,0,6,6,0,0,6,0,0,0,0,6,0,0,6,6,0,6,0,6,0,4,2,6,0,6,0,4,2
Gajarampalle,ANANTAPUR,PAMIDI - 4725,Gajarampalle,0,0,13,9,4,0,8,5,0,0,1,12,0,0,13,13,0,13,0,9,4,10,3,13,0,3,10,13,0
Gulimikondla @ G.Kottala,ANANTAPUR,PAMIDI - 4725,Gulimikondla @ G.Kottala,0,0,17,14,3,0,15,1,1,0,0,17,0,0,17,17,0,17,0,15,2,12,5,17,0,16,1,17,0
Kalapuram,ANANTAPUR,PAMIDI - 4725,Kalapuram,0,0,11,8,3,0,10,1,0,0,0,11,0,0,11,11,0,11,0,11,0,8,3,11,0,8,3,11,0
Kandlapalle,ANANTAPUR,PAMIDI - 4725,Kandlapalle,0,0,13,10,3,0,11,2,0,0,1,12,0,0,13,13,0,13,0,13,0,10,3,13,0,12,1,13,0
Katrimala,ANANTAPUR,PAMIDI - 4725,Katrimala,0,1,14,12,3,0,6,9,0,1,2,12,0,0,15,15,0,15,0,13,2,14,1,15,0,8,7,13,2
Khadarpeta,ANANTAPUR,PAMIDI - 4725,Khadarpeta,0,0,14,14,0,0,13,1,0,0,0,14,0,0,14,14,0,14,0,8,6,8,6,14,0,11,3,13,1
Neelur,ANANTAPUR,PAMIDI - 4725,Neelur,0,0,19,15,4,0,17,2,0,0,0,19,0,0,19,19,0,19,0,15,4,12,7,19,0,9,10,19,0
Nemallapalle,ANANTAPUR,PAMIDI - 4725,Nemallapalle,0,0,4,4,0,0,3,1,0,0,0,4,0,0,4,4,0,4,0,4,0,0,4,4,0,2,2,4,0
Palyam,ANANTAPUR,PAMIDI - 4725,Palyam,0,0,27,22,5,0,22,5,0,0,0,27,0,0,27,27,0,27,0,22,5,22,5,27,0,10,17,23,4
Pamidi,ANANTAPUR,PAMIDI - 4725,Pamidi,0,0,17,11,6,0,9,8,0,0,1,16,0,0,17,17,0,17,0,16,1,15,2,17,0,9,8,17,0
Ramagiri,ANANTAPUR,PAMIDI - 4725,Ramagiri,0,0,28,19,9,0,22,6,0,0,1,27,0,0,28,28,0,28,0,20,8,23,5,28,0,25,3,28,0
Ramarajupalle,ANANTAPUR,PAMIDI - 4725,Ramarajupalle,0,0,9,9,0,0,4,4,1,0,0,9,0,0,9,9,0,9,0,8,1,9,0,9,0,9,0,9,0
Sorakayalapeta,ANANTAPUR,PAMIDI - 4725,Sorakayalapeta,0,1,4,5,0,0,3,2,0,1,0,4,0,0,5,5,0,5,0,4,1,4,1,5,0,4,1,5,0
Thamballapalle,ANANTAPUR,PAMIDI - 4725,Thamballapalle,0,0,11,7,4,0,10,1,0,0,0,11,0,0,11,11,0,11,0,11,0,8,3,11,0,4,7,11,0
Vankarajukalva,ANANTAPUR,PAMIDI - 4725,Vankarajukalva,0,3,19,20,2,0,21,1,0,0,0,22,0,0,22,22,0,22,0,18,4,16,6,22,0,22,0,22,0
