cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Devanuppalapadu,0,23,0,7,1,15,4,0,19,23,0,0,21,2,1,0,22,0,23,17,6,12,11,23,0,17,6,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Pasalur,0,18,0,8,0,10,12,0,6,18,0,0,16,2,3,0,15,0,18,12,6,12,6,18,0,13,5,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Pendekallu,0,25,0,19,0,6,18,0,7,25,0,0,25,0,4,0,21,0,25,20,5,20,5,25,0,18,7,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Chinnayakkaluru,0,26,1,22,0,5,21,0,6,27,0,0,25,2,2,0,25,0,27,25,2,19,8,27,0,20,7,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Peddapappur,0,30,0,24,0,6,26,0,4,30,0,0,30,0,5,0,25,0,30,24,6,20,10,30,0,23,7,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Amalladinne,0,24,4,23,0,5,18,0,10,28,0,1,19,8,1,0,27,0,28,24,4,25,3,28,0,22,6,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Dharmapuram,0,21,0,19,0,2,16,0,5,21,0,0,19,2,6,0,15,0,21,21,0,17,4,21,0,14,7,20,1
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Jutur,0,21,2,21,0,2,16,0,7,23,0,0,15,8,6,0,17,0,23,20,3,19,4,23,0,16,7,22,1
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Muchukota,0,32,0,28,0,4,28,0,4,32,0,0,30,1,2,0,30,0,32,20,12,20,11,32,0,21,11,32,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Tabjula,0,23,0,16,0,7,13,0,10,23,0,0,21,2,1,0,22,0,23,22,1,9,14,23,0,18,5,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Narasapuram,0,21,2,19,0,4,18,0,5,23,0,0,18,5,1,0,22,0,23,9,14,21,2,23,0,15,8,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Peddayakkaluru,0,18,5,20,0,3,20,0,3,22,1,0,21,2,9,0,14,0,23,12,11,18,5,23,0,15,8,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Garladinne,0,7,0,4,0,3,3,0,4,7,0,0,5,2,3,0,4,0,7,7,0,5,2,7,0,7,0,7,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAPAPPUR - 4727,Chagallu,0,20,0,16,0,4,16,0,4,20,0,0,19,1,8,0,12,0,20,13,7,15,5,20,0,16,4,20,0
