State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amalladinne,ANANTAPUR,PEDDAPAPPUR - 4727,Amalladinne,0,4,24,23,5,0,18,10,0,1,8,19,1,0,27,28,0,28,0,24,4,25,3,28,0,22,6,28,0
Chagallu,ANANTAPUR,PEDDAPAPPUR - 4727,Chagallu,0,0,20,16,4,0,16,4,0,0,1,19,8,0,12,20,0,20,0,13,7,15,5,20,0,16,4,20,0
Chinnayakkaluru,ANANTAPUR,PEDDAPAPPUR - 4727,Chinnayakkaluru,0,1,26,22,5,0,21,6,0,0,2,25,2,0,25,27,0,27,0,25,2,19,8,27,0,20,7,27,0
Devanuppalapadu,ANANTAPUR,PEDDAPAPPUR - 4727,Devanuppalapadu,0,0,23,7,15,1,4,19,0,0,2,21,1,0,22,23,0,23,0,17,6,12,11,23,0,17,6,23,0
Dharmapuram,ANANTAPUR,PEDDAPAPPUR - 4727,Dharmapuram,0,0,21,19,2,0,16,5,0,0,2,19,6,0,15,21,0,21,0,21,0,17,4,21,0,14,7,20,1
Garladinne,ANANTAPUR,PEDDAPAPPUR - 4727,Garladinne,0,0,7,4,3,0,3,4,0,0,2,5,3,0,4,7,0,7,0,7,0,5,2,7,0,7,0,7,0
Jutur,ANANTAPUR,PEDDAPAPPUR - 4727,Jutur,0,2,21,21,2,0,16,7,0,0,8,15,6,0,17,23,0,23,0,20,3,19,4,23,0,16,7,22,1
Muchukota,ANANTAPUR,PEDDAPAPPUR - 4727,Muchukota,0,0,32,28,4,0,28,4,0,0,1,30,2,0,30,32,0,32,0,20,12,20,11,32,0,21,11,32,0
Narasapuram,ANANTAPUR,PEDDAPAPPUR - 4727,Narasapuram,0,2,21,19,4,0,18,5,0,0,5,18,1,0,22,23,0,23,0,9,14,21,2,23,0,15,8,23,0
Pasalur,ANANTAPUR,PEDDAPAPPUR - 4727,Pasalur,0,0,18,8,10,0,12,6,0,0,2,16,3,0,15,18,0,18,0,12,6,12,6,18,0,13,5,18,0
Peddapappur,ANANTAPUR,PEDDAPAPPUR - 4727,Peddapappur,0,0,30,24,6,0,26,4,0,0,0,30,5,0,25,30,0,30,0,24,6,20,10,30,0,23,7,30,0
Peddayakkaluru,ANANTAPUR,PEDDAPAPPUR - 4727,Peddayakkaluru,0,5,18,20,3,0,20,3,0,0,2,21,9,0,14,23,0,22,1,12,11,18,5,23,0,15,8,23,0
Pendekallu,ANANTAPUR,PEDDAPAPPUR - 4727,Pendekallu,0,0,25,19,6,0,18,7,0,0,0,25,4,0,21,25,0,25,0,20,5,20,5,25,0,18,7,25,0
Tabjula,ANANTAPUR,PEDDAPAPPUR - 4727,Tabjula,0,0,23,16,7,0,13,10,0,0,2,21,1,0,22,23,0,23,0,22,1,9,14,23,0,18,5,23,0
