cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Virupapuram,0,16,1,10,0,7,14,0,3,17,0,0,16,1,3,0,14,0,17,7,10,4,13,17,0,13,4,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Molakathalla,0,2,0,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,2,1,1,1,1,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Muppalagutti,0,13,0,11,0,2,11,0,2,13,0,0,13,0,0,0,13,1,12,8,5,11,2,13,0,3,10,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Medimakulapalle,0,22,1,19,0,4,22,0,1,23,0,0,23,0,5,0,18,0,23,15,8,15,8,23,0,17,6,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Dimmagudi,0,28,0,23,0,5,26,0,2,28,0,1,25,2,0,0,28,0,28,18,10,27,1,28,0,17,11,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Gooty Ananta Puram,0,27,0,20,0,7,27,0,0,27,0,0,27,0,1,0,26,0,27,24,3,21,6,26,1,19,8,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Chitturu,0,23,2,19,0,6,23,0,2,25,0,0,25,0,12,0,13,0,25,15,10,23,2,25,0,19,6,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Chinnavadugur,0,27,0,19,0,8,25,0,2,27,0,0,27,0,5,0,22,0,27,26,1,24,3,27,0,18,9,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Ravuludiki,0,24,1,17,1,7,23,0,2,25,0,0,25,0,0,0,25,0,25,13,12,13,12,25,0,17,8,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Peddavadugur,0,41,1,32,0,10,38,0,4,42,0,0,37,5,9,0,33,0,42,30,12,36,6,42,0,25,17,42,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Appecherla,0,23,0,22,0,1,21,0,2,23,0,0,23,0,1,0,22,0,23,19,4,21,2,23,0,14,9,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Kristipadu,0,58,0,44,0,14,55,0,3,58,0,0,57,1,11,0,47,1,57,29,29,44,14,58,0,40,18,58,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Mallenipalle,0,36,1,31,0,6,36,0,1,37,0,0,36,1,0,0,37,0,37,13,24,21,16,37,0,26,11,37,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PEDDAVADUGUR - 4728,Chitrachedu,0,22,1,19,0,4,20,0,3,23,0,0,23,0,5,0,18,0,23,23,0,15,8,23,0,16,7,23,0
