State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Appecherla,ANANTAPUR,PEDDAVADUGUR - 4728,Appecherla,0,0,23,22,1,0,21,2,0,0,0,23,1,0,22,23,0,23,0,19,4,21,2,23,0,14,9,23,0
Chinnavadugur,ANANTAPUR,PEDDAVADUGUR - 4728,Chinnavadugur,0,0,27,19,8,0,25,2,0,0,0,27,5,0,22,27,0,27,0,26,1,24,3,27,0,18,9,27,0
Chitrachedu,ANANTAPUR,PEDDAVADUGUR - 4728,Chitrachedu,0,1,22,19,4,0,20,3,0,0,0,23,5,0,18,23,0,23,0,23,0,15,8,23,0,16,7,23,0
Chitturu,ANANTAPUR,PEDDAVADUGUR - 4728,Chitturu,0,2,23,19,6,0,23,2,0,0,0,25,12,0,13,25,0,25,0,15,10,23,2,25,0,19,6,25,0
Dimmagudi,ANANTAPUR,PEDDAVADUGUR - 4728,Dimmagudi,0,0,28,23,5,0,26,2,0,1,2,25,0,0,28,28,0,28,0,18,10,27,1,28,0,17,11,28,0
Gooty Ananta Puram,ANANTAPUR,PEDDAVADUGUR - 4728,Gooty Ananta Puram,0,0,27,20,7,0,27,0,0,0,0,27,1,0,26,27,0,27,0,24,3,21,6,26,1,19,8,27,0
Kristipadu,ANANTAPUR,PEDDAVADUGUR - 4728,Kristipadu,0,0,58,44,14,0,55,3,0,0,1,57,11,0,47,57,1,58,0,29,29,44,14,58,0,40,18,58,0
Mallenipalle,ANANTAPUR,PEDDAVADUGUR - 4728,Mallenipalle,0,1,36,31,6,0,36,1,0,0,1,36,0,0,37,37,0,37,0,13,24,21,16,37,0,26,11,37,0
Medimakulapalle,ANANTAPUR,PEDDAVADUGUR - 4728,Medimakulapalle,0,1,22,19,4,0,22,1,0,0,0,23,5,0,18,23,0,23,0,15,8,15,8,23,0,17,6,23,0
Molakathalla,ANANTAPUR,PEDDAVADUGUR - 4728,Molakathalla,0,0,2,0,2,0,0,2,0,0,0,2,0,0,2,2,0,2,0,1,1,1,1,2,0,2,0,2,0
Muppalagutti,ANANTAPUR,PEDDAVADUGUR - 4728,Muppalagutti,0,0,13,11,2,0,11,2,0,0,0,13,0,0,13,12,1,13,0,8,5,11,2,13,0,3,10,13,0
Peddavadugur,ANANTAPUR,PEDDAVADUGUR - 4728,Peddavadugur,0,1,41,32,10,0,38,4,0,0,5,37,9,0,33,42,0,42,0,30,12,36,6,42,0,25,17,42,0
Ravuludiki,ANANTAPUR,PEDDAVADUGUR - 4728,Ravuludiki,0,1,24,17,7,1,23,2,0,0,0,25,0,0,25,25,0,25,0,13,12,13,12,25,0,17,8,25,0
Virupapuram,ANANTAPUR,PEDDAVADUGUR - 4728,Virupapuram,0,1,16,10,7,0,14,3,0,0,1,16,3,0,14,17,0,17,0,7,10,4,13,17,0,13,4,17,0
