cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Chintalapalle,0,6,0,6,0,0,6,0,0,5,1,0,6,0,2,0,4,0,6,4,2,2,4,6,0,6,0,6,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Kummanamala,0,26,1,26,0,1,16,0,11,24,3,0,27,0,0,0,27,0,27,15,12,12,15,27,0,23,4,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Madugupalle,0,25,2,24,0,3,15,0,12,25,2,0,27,0,0,0,27,0,27,15,12,15,12,27,0,22,5,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Ellutla,0,22,3,25,0,0,14,0,11,24,1,0,24,1,2,0,23,0,25,18,7,18,7,25,0,19,6,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Arakativemula,0,23,0,23,0,0,14,0,9,23,0,0,23,0,1,0,22,0,23,11,12,11,12,23,0,19,4,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Sanagalaguduru,0,49,1,47,0,3,26,0,24,47,3,0,48,2,9,0,41,0,50,37,13,30,20,49,0,45,5,50,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Cherlopalli,0,51,2,50,0,3,27,0,26,50,3,0,50,3,3,0,50,0,53,21,32,39,14,53,0,42,11,53,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Dosaledu,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Kadavakallu,0,24,0,23,0,1,17,0,7,23,1,0,22,2,6,0,18,0,24,22,2,12,12,24,0,24,0,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Komatikuntla,0,25,0,25,0,0,22,0,3,23,2,0,24,1,0,0,25,0,25,14,11,18,7,25,0,23,2,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Putlur,0,36,1,34,0,3,17,0,20,35,2,0,36,1,2,0,35,0,37,20,17,22,15,37,0,34,3,37,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Surepalli,0,3,1,3,0,1,4,0,0,4,0,0,2,2,0,0,4,0,4,3,1,4,0,4,0,0,4,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Gandlapadu,0,7,0,7,0,0,1,0,6,7,0,0,7,0,0,0,7,0,7,3,4,3,4,7,0,7,0,7,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Chintakunta,0,7,0,7,0,0,4,0,3,6,1,0,7,0,0,0,7,0,7,2,5,3,4,7,0,3,4,7,0
2023-24,ANDHRA PRADESH,ANANTAPUR,PUTLUR - 4730,Kandikapula,0,11,0,10,0,1,6,0,5,11,0,0,11,0,0,0,11,0,11,3,8,6,5,11,0,5,6,11,0
