State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Arakativemula,ANANTAPUR,PUTLUR - 4730,Arakativemula,0,0,23,23,0,0,14,9,0,0,0,23,1,0,22,23,0,23,0,11,12,11,12,23,0,19,4,23,0
Cherlopalli,ANANTAPUR,PUTLUR - 4730,Cherlopalli,0,2,51,50,3,0,27,26,0,0,3,50,3,0,50,53,0,50,3,21,32,39,14,53,0,42,11,53,0
Chintakunta,ANANTAPUR,PUTLUR - 4730,Chintakunta,0,0,7,7,0,0,4,3,0,0,0,7,0,0,7,7,0,6,1,2,5,3,4,7,0,3,4,7,0
Chintalapalle,ANANTAPUR,PUTLUR - 4730,Chintalapalle,0,0,6,6,0,0,6,0,0,0,0,6,2,0,4,6,0,5,1,4,2,2,4,6,0,6,0,6,0
Dosaledu,ANANTAPUR,PUTLUR - 4730,Dosaledu,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
Ellutla,ANANTAPUR,PUTLUR - 4730,Ellutla,0,3,22,25,0,0,14,11,0,0,1,24,2,0,23,25,0,24,1,18,7,18,7,25,0,19,6,25,0
Gandlapadu,ANANTAPUR,PUTLUR - 4730,Gandlapadu,0,0,7,7,0,0,1,6,0,0,0,7,0,0,7,7,0,7,0,3,4,3,4,7,0,7,0,7,0
Kadavakallu,ANANTAPUR,PUTLUR - 4730,Kadavakallu,0,0,24,23,1,0,17,7,0,0,2,22,6,0,18,24,0,23,1,22,2,12,12,24,0,24,0,24,0
Kandikapula,ANANTAPUR,PUTLUR - 4730,Kandikapula,0,0,11,10,1,0,6,5,0,0,0,11,0,0,11,11,0,11,0,3,8,6,5,11,0,5,6,11,0
Komatikuntla,ANANTAPUR,PUTLUR - 4730,Komatikuntla,0,0,25,25,0,0,22,3,0,0,1,24,0,0,25,25,0,23,2,14,11,18,7,25,0,23,2,25,0
Kummanamala,ANANTAPUR,PUTLUR - 4730,Kummanamala,0,1,26,26,1,0,16,11,0,0,0,27,0,0,27,27,0,24,3,15,12,12,15,27,0,23,4,27,0
Madugupalle,ANANTAPUR,PUTLUR - 4730,Madugupalle,0,2,25,24,3,0,15,12,0,0,0,27,0,0,27,27,0,25,2,15,12,15,12,27,0,22,5,27,0
Putlur,ANANTAPUR,PUTLUR - 4730,Putlur,0,1,36,34,3,0,17,20,0,0,1,36,2,0,35,37,0,35,2,20,17,22,15,37,0,34,3,37,0
Sanagalaguduru,ANANTAPUR,PUTLUR - 4730,Sanagalaguduru,0,1,49,47,3,0,26,24,0,0,2,48,9,0,41,50,0,47,3,37,13,30,20,49,0,45,5,50,0
Surepalli,ANANTAPUR,PUTLUR - 4730,Surepalli,0,1,3,3,1,0,4,0,0,0,2,2,0,0,4,4,0,4,0,3,1,4,0,4,0,0,4,4,0
