cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Bukkacherla,0,25,3,26,0,2,13,0,15,27,1,0,25,3,0,0,28,0,28,14,14,16,12,28,0,17,11,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Bandameedapalle,0,26,1,14,1,12,16,0,11,27,0,0,26,1,1,0,26,0,27,15,12,24,3,27,0,20,7,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Palacherla,0,24,1,6,3,16,6,1,18,25,0,0,23,2,1,0,24,0,25,5,20,18,7,25,0,21,4,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Gangulakunta,0,12,0,7,1,4,8,1,3,12,0,0,10,2,0,0,12,0,12,8,4,7,5,11,1,12,0,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Raptadu (Part),0,76,2,62,2,14,42,1,35,76,2,0,70,8,0,0,78,0,78,47,31,27,51,78,0,55,23,78,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Maroor,0,77,3,55,4,21,48,2,30,77,3,0,77,3,1,0,79,0,80,49,31,58,22,80,0,68,12,78,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Gondireddipalle,0,29,0,13,3,13,16,0,13,28,1,0,29,0,2,0,27,0,29,19,10,10,19,29,0,25,4,29,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Bommaparthy,0,25,0,24,0,1,14,0,11,21,4,0,22,3,0,0,25,0,25,14,11,10,15,25,0,19,6,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Yerragunta,0,3,0,3,0,0,2,0,1,3,0,0,3,0,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Gandlaparthi,0,16,0,16,0,0,16,0,0,16,0,0,14,2,0,0,16,0,16,6,10,7,9,16,0,8,8,16,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAPTADU - 4733,Hampapuram,0,7,0,7,0,0,3,0,4,7,0,0,6,1,0,0,7,0,7,4,3,3,4,7,0,5,2,7,0
