State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Bandameedapalle,ANANTAPUR,RAPTADU - 4733,Bandameedapalle,0,1,26,14,12,1,16,11,0,0,1,26,1,0,26,27,0,27,0,15,12,24,3,27,0,20,7,27,0
Bommaparthy,ANANTAPUR,RAPTADU - 4733,Bommaparthy,0,0,25,24,1,0,14,11,0,0,3,22,0,0,25,25,0,21,4,14,11,10,15,25,0,19,6,25,0
Bukkacherla,ANANTAPUR,RAPTADU - 4733,Bukkacherla,0,3,25,26,2,0,13,15,0,0,3,25,0,0,28,28,0,27,1,14,14,16,12,28,0,17,11,28,0
Gandlaparthi,ANANTAPUR,RAPTADU - 4733,Gandlaparthi,0,0,16,16,0,0,16,0,0,0,2,14,0,0,16,16,0,16,0,6,10,7,9,16,0,8,8,16,0
Gangulakunta,ANANTAPUR,RAPTADU - 4733,Gangulakunta,0,0,12,7,4,1,8,3,1,0,2,10,0,0,12,12,0,12,0,8,4,7,5,11,1,12,0,12,0
Gondireddipalle,ANANTAPUR,RAPTADU - 4733,Gondireddipalle,0,0,29,13,13,3,16,13,0,0,0,29,2,0,27,29,0,28,1,19,10,10,19,29,0,25,4,29,0
Hampapuram,ANANTAPUR,RAPTADU - 4733,Hampapuram,0,0,7,7,0,0,3,4,0,0,1,6,0,0,7,7,0,7,0,4,3,3,4,7,0,5,2,7,0
Maroor,ANANTAPUR,RAPTADU - 4733,Maroor,0,3,77,55,21,4,48,30,2,0,3,77,1,0,79,80,0,77,3,49,31,58,22,80,0,68,12,78,0
Palacherla,ANANTAPUR,RAPTADU - 4733,Palacherla,0,1,24,6,16,3,6,18,1,0,2,23,1,0,24,25,0,25,0,5,20,18,7,25,0,21,4,25,0
Raptadu (Part),ANANTAPUR,RAPTADU - 4733,Raptadu (Part),0,2,76,62,14,2,42,35,1,0,8,70,0,0,78,78,0,76,2,47,31,27,51,78,0,55,23,78,0
Yerragunta,ANANTAPUR,RAPTADU - 4733,Yerragunta,0,0,3,3,0,0,2,1,0,0,0,3,0,0,3,3,0,3,0,2,1,2,1,3,0,3,0,3,0
