cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Chadam,0,30,0,20,0,10,11,0,19,30,0,0,30,0,3,0,27,0,30,6,24,17,13,30,0,28,2,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Mallapuram,0,65,2,30,0,37,28,0,39,64,3,0,67,0,0,0,67,4,63,56,11,38,29,67,0,48,19,67,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Veparalla,0,30,0,10,0,20,10,0,20,27,3,0,29,1,0,0,30,1,29,25,5,15,15,30,0,26,4,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Avuladatla,0,20,1,15,0,6,13,0,8,21,0,0,19,2,0,0,21,0,21,6,15,13,8,21,0,14,7,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Baginayakana Halli,0,11,2,6,0,7,5,0,8,12,1,0,13,0,0,0,13,1,12,12,1,5,8,13,0,12,1,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Vadrahonnur,0,3,0,1,0,2,3,0,0,3,0,0,3,0,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,D.Kondapuram,0,22,0,9,0,13,19,0,3,22,0,0,21,1,0,0,22,0,22,12,10,2,20,22,0,20,2,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Gramadatla,0,5,0,2,0,3,4,0,1,5,0,0,2,3,0,0,5,0,5,3,2,4,1,5,0,5,0,5,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Udegolam,0,15,0,14,0,1,6,0,9,15,0,0,14,1,1,0,14,0,15,7,8,9,6,15,0,13,2,15,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Nagireddipalle,0,40,5,17,0,28,21,0,24,40,5,0,43,2,0,0,45,11,34,35,10,24,21,45,0,37,8,45,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Junjurampalle,0,18,0,8,0,10,14,0,4,18,0,0,18,0,0,0,18,0,18,7,11,3,15,18,0,13,5,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Rayadurgam,0,23,0,18,0,5,9,0,14,23,0,0,21,2,0,0,23,1,22,14,9,16,7,23,0,17,6,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Mechiri,0,38,1,8,1,30,21,0,18,38,1,0,38,1,0,0,39,5,34,34,5,20,19,39,0,30,9,38,1
2023-24,ANDHRA PRADESH,ANANTAPUR,RAYADURG - 4734,Bondankal,0,20,0,17,0,3,8,0,12,20,0,0,20,0,0,0,20,0,20,2,18,11,9,20,0,15,5,20,0
