State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Avuladatla,ANANTAPUR,RAYADURG - 4734,Avuladatla,0,1,20,15,6,0,13,8,0,0,2,19,0,0,21,21,0,21,0,6,15,13,8,21,0,14,7,21,0
Baginayakana Halli,ANANTAPUR,RAYADURG - 4734,Baginayakana Halli,0,2,11,6,7,0,5,8,0,0,0,13,0,0,13,12,1,12,1,12,1,5,8,13,0,12,1,13,0
Bondankal,ANANTAPUR,RAYADURG - 4734,Bondankal,0,0,20,17,3,0,8,12,0,0,0,20,0,0,20,20,0,20,0,2,18,11,9,20,0,15,5,20,0
Chadam,ANANTAPUR,RAYADURG - 4734,Chadam,0,0,30,20,10,0,11,19,0,0,0,30,3,0,27,30,0,30,0,6,24,17,13,30,0,28,2,30,0
D.Kondapuram,ANANTAPUR,RAYADURG - 4734,D.Kondapuram,0,0,22,9,13,0,19,3,0,0,1,21,0,0,22,22,0,22,0,12,10,2,20,22,0,20,2,22,0
Gramadatla,ANANTAPUR,RAYADURG - 4734,Gramadatla,0,0,5,2,3,0,4,1,0,0,3,2,0,0,5,5,0,5,0,3,2,4,1,5,0,5,0,5,0
Junjurampalle,ANANTAPUR,RAYADURG - 4734,Junjurampalle,0,0,18,8,10,0,14,4,0,0,0,18,0,0,18,18,0,18,0,7,11,3,15,18,0,13,5,18,0
Mallapuram,ANANTAPUR,RAYADURG - 4734,Mallapuram,0,2,65,30,37,0,28,39,0,0,0,67,0,0,67,63,4,64,3,56,11,38,29,67,0,48,19,67,0
Mechiri,ANANTAPUR,RAYADURG - 4734,Mechiri,0,1,38,8,30,1,21,18,0,0,1,38,0,0,39,34,5,38,1,34,5,20,19,39,0,30,9,38,1
Nagireddipalle,ANANTAPUR,RAYADURG - 4734,Nagireddipalle,0,5,40,17,28,0,21,24,0,0,2,43,0,0,45,34,11,40,5,35,10,24,21,45,0,37,8,45,0
Rayadurgam,ANANTAPUR,RAYADURG - 4734,Rayadurgam,0,0,23,18,5,0,9,14,0,0,2,21,0,0,23,22,1,23,0,14,9,16,7,23,0,17,6,23,0
Udegolam,ANANTAPUR,RAYADURG - 4734,Udegolam,0,0,15,14,1,0,6,9,0,0,1,14,1,0,14,15,0,15,0,7,8,9,6,15,0,13,2,15,0
Vadrahonnur,ANANTAPUR,RAYADURG - 4734,Vadrahonnur,0,0,3,1,2,0,3,0,0,0,0,3,0,0,3,3,0,3,0,2,1,2,1,3,0,3,0,3,0
Veparalla,ANANTAPUR,RAYADURG - 4734,Veparalla,0,0,30,10,20,0,10,20,0,0,1,29,0,0,30,29,1,27,3,25,5,15,15,30,0,26,4,30,0
