cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Chintarlapalle,1,21,0,16,0,6,15,0,7,22,0,0,20,2,4,0,18,0,22,22,0,11,11,22,0,18,4,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Khairevu,0,46,0,36,0,10,28,0,18,46,0,1,40,5,9,0,37,0,46,45,1,36,10,45,1,32,14,46,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Lakshmanpalle,0,18,0,12,0,6,4,0,14,18,0,0,15,3,1,0,17,0,18,13,5,9,9,18,0,13,5,17,1
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Adivigollapalle,0,52,4,45,0,11,15,0,41,47,9,4,42,10,11,0,45,0,56,24,32,30,26,56,0,52,4,55,1
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Settur,0,16,0,13,0,3,9,0,7,15,1,0,12,4,0,0,16,0,16,10,6,14,2,16,0,14,2,16,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Bachchupalle,0,30,0,26,0,4,18,0,12,30,0,0,21,9,1,0,29,0,30,30,0,19,11,30,0,24,6,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Mulakaledu,0,89,1,75,0,15,78,0,12,90,0,0,68,22,1,0,89,0,90,67,23,60,30,88,2,52,38,90,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Ayyagarlapalle,0,30,0,20,0,10,19,0,11,30,0,1,19,10,2,0,28,0,30,30,0,19,11,30,0,23,7,30,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Yatakal,0,55,0,46,0,9,41,0,14,55,0,0,42,13,4,0,51,0,55,54,1,41,14,55,0,38,17,55,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SETTUR - 4737,Kamthanahalli,0,8,0,6,0,2,2,0,6,8,0,0,7,1,1,0,7,0,8,7,1,6,2,8,0,4,4,8,0
