State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adivigollapalle,ANANTAPUR,SETTUR - 4737,Adivigollapalle,0,4,52,45,11,0,15,41,0,4,10,42,11,0,45,56,0,47,9,24,32,30,26,56,0,52,4,55,1
Ayyagarlapalle,ANANTAPUR,SETTUR - 4737,Ayyagarlapalle,0,0,30,20,10,0,19,11,0,1,10,19,2,0,28,30,0,30,0,30,0,19,11,30,0,23,7,30,0
Bachchupalle,ANANTAPUR,SETTUR - 4737,Bachchupalle,0,0,30,26,4,0,18,12,0,0,9,21,1,0,29,30,0,30,0,30,0,19,11,30,0,24,6,30,0
Chintarlapalle,ANANTAPUR,SETTUR - 4737,Chintarlapalle,1,0,21,16,6,0,15,7,0,0,2,20,4,0,18,22,0,22,0,22,0,11,11,22,0,18,4,22,0
Kamthanahalli,ANANTAPUR,SETTUR - 4737,Kamthanahalli,0,0,8,6,2,0,2,6,0,0,1,7,1,0,7,8,0,8,0,7,1,6,2,8,0,4,4,8,0
Khairevu,ANANTAPUR,SETTUR - 4737,Khairevu,0,0,46,36,10,0,28,18,0,1,5,40,9,0,37,46,0,46,0,45,1,36,10,45,1,32,14,46,0
Lakshmanpalle,ANANTAPUR,SETTUR - 4737,Lakshmanpalle,0,0,18,12,6,0,4,14,0,0,3,15,1,0,17,18,0,18,0,13,5,9,9,18,0,13,5,17,1
Mulakaledu,ANANTAPUR,SETTUR - 4737,Mulakaledu,0,1,89,75,15,0,78,12,0,0,22,68,1,0,89,90,0,90,0,67,23,60,30,88,2,52,38,90,0
Settur,ANANTAPUR,SETTUR - 4737,Settur,0,0,16,13,3,0,9,7,0,0,4,12,0,0,16,16,0,15,1,10,6,14,2,16,0,14,2,16,0
Yatakal,ANANTAPUR,SETTUR - 4737,Yatakal,0,0,55,46,9,0,41,14,0,0,13,42,4,0,51,55,0,55,0,54,1,41,14,55,0,38,17,55,0
