cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Rachepalle,0,28,0,27,0,1,24,0,4,27,1,0,28,0,0,0,28,0,28,16,12,25,3,28,0,9,19,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Singanamala,0,34,0,31,0,3,32,0,2,34,0,0,34,0,0,0,34,0,34,25,9,28,6,33,1,22,12,30,4
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Sodanapalle,0,26,1,25,0,2,20,0,7,25,2,0,25,2,0,0,27,0,27,12,15,19,8,27,0,20,7,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Ullikallu,0,27,0,26,0,1,22,0,5,25,2,0,25,2,2,0,25,0,27,11,16,21,6,27,0,13,14,21,6
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Akuledu,0,34,2,25,0,11,19,0,17,35,1,0,30,6,1,0,35,0,36,18,18,27,9,36,0,27,9,36,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Chakrayapeta,0,25,0,23,0,2,23,0,2,25,0,0,25,0,0,0,25,0,25,15,10,17,8,25,0,18,7,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Korivipalle,0,25,1,24,0,2,19,0,7,26,0,0,24,2,3,0,23,0,26,12,14,22,4,26,0,9,17,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Peravali,0,28,0,22,0,6,12,0,16,26,2,1,27,0,0,0,28,0,28,7,21,18,10,28,0,21,7,28,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Kallumadi,0,26,0,23,0,3,20,0,6,25,1,0,26,0,6,0,20,0,26,5,21,11,15,26,0,21,5,25,1
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Tarimela,0,22,1,18,0,5,10,1,12,22,1,0,23,0,0,0,23,0,23,12,11,20,3,22,1,16,7,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Narsapuram,0,3,0,2,0,1,3,0,0,3,0,0,3,0,0,0,3,0,3,0,3,2,1,3,0,3,0,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Salakamcheruvu,0,12,0,11,0,1,11,0,1,12,0,0,11,1,0,0,12,0,12,9,3,12,0,12,0,7,5,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Matlagondi,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,2,1,2,1,3,0,3,0,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Buddepalle,0,15,0,13,0,2,7,0,8,14,1,0,15,0,1,0,14,0,15,8,7,10,5,15,0,11,4,14,1
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Cheelapalle,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,SINGANAMALA - 4738,Anandaraopeta,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,3,0,2,1,3,0,2,1,3,0
