State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Akuledu,ANANTAPUR,SINGANAMALA - 4738,Akuledu,0,2,34,25,11,0,19,17,0,0,6,30,1,0,35,36,0,35,1,18,18,27,9,36,0,27,9,36,0
Anandaraopeta,ANANTAPUR,SINGANAMALA - 4738,Anandaraopeta,0,0,3,3,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,3,0,2,1,3,0,2,1,3,0
Buddepalle,ANANTAPUR,SINGANAMALA - 4738,Buddepalle,0,0,15,13,2,0,7,8,0,0,0,15,1,0,14,15,0,14,1,8,7,10,5,15,0,11,4,14,1
Chakrayapeta,ANANTAPUR,SINGANAMALA - 4738,Chakrayapeta,0,0,25,23,2,0,23,2,0,0,0,25,0,0,25,25,0,25,0,15,10,17,8,25,0,18,7,25,0
Cheelapalle,ANANTAPUR,SINGANAMALA - 4738,Cheelapalle,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
Kallumadi,ANANTAPUR,SINGANAMALA - 4738,Kallumadi,0,0,26,23,3,0,20,6,0,0,0,26,6,0,20,26,0,25,1,5,21,11,15,26,0,21,5,25,1
Korivipalle,ANANTAPUR,SINGANAMALA - 4738,Korivipalle,0,1,25,24,2,0,19,7,0,0,2,24,3,0,23,26,0,26,0,12,14,22,4,26,0,9,17,26,0
Matlagondi,ANANTAPUR,SINGANAMALA - 4738,Matlagondi,0,0,3,3,0,0,3,0,0,0,0,3,0,0,3,3,0,3,0,2,1,2,1,3,0,3,0,3,0
Narsapuram,ANANTAPUR,SINGANAMALA - 4738,Narsapuram,0,0,3,2,1,0,3,0,0,0,0,3,0,0,3,3,0,3,0,0,3,2,1,3,0,3,0,3,0
Peravali,ANANTAPUR,SINGANAMALA - 4738,Peravali,0,0,28,22,6,0,12,16,0,1,0,27,0,0,28,28,0,26,2,7,21,18,10,28,0,21,7,28,0
Rachepalle,ANANTAPUR,SINGANAMALA - 4738,Rachepalle,0,0,28,27,1,0,24,4,0,0,0,28,0,0,28,28,0,27,1,16,12,25,3,28,0,9,19,28,0
Salakamcheruvu,ANANTAPUR,SINGANAMALA - 4738,Salakamcheruvu,0,0,12,11,1,0,11,1,0,0,1,11,0,0,12,12,0,12,0,9,3,12,0,12,0,7,5,12,0
Singanamala,ANANTAPUR,SINGANAMALA - 4738,Singanamala,0,0,34,31,3,0,32,2,0,0,0,34,0,0,34,34,0,34,0,25,9,28,6,33,1,22,12,30,4
Sodanapalle,ANANTAPUR,SINGANAMALA - 4738,Sodanapalle,0,1,26,25,2,0,20,7,0,0,2,25,0,0,27,27,0,25,2,12,15,19,8,27,0,20,7,27,0
Tarimela,ANANTAPUR,SINGANAMALA - 4738,Tarimela,0,1,22,18,5,0,10,12,1,0,0,23,0,0,23,23,0,22,1,12,11,20,3,22,1,16,7,23,0
Ullikallu,ANANTAPUR,SINGANAMALA - 4738,Ullikallu,0,0,27,26,1,0,22,5,0,0,2,25,2,0,25,27,0,25,2,11,16,21,6,27,0,13,14,21,6
