cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Chinnapolamada,0,12,1,9,0,4,10,0,3,13,0,0,7,6,1,0,12,0,13,12,1,11,2,13,0,11,2,12,1
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Peddapolamada,0,31,9,31,0,9,28,0,12,38,2,0,30,10,5,0,35,1,39,38,2,32,8,40,0,38,2,40,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Sajjaladinne,0,12,1,13,0,0,13,0,0,13,0,0,10,3,3,0,10,0,13,12,1,11,2,13,0,13,0,13,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Husenapuram,0,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,2,1,1,1,1,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Igudur,0,13,6,18,0,1,14,0,5,19,0,0,14,5,2,1,16,0,19,19,0,14,5,19,0,15,4,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Chukkalur,0,16,5,19,0,2,16,0,5,21,0,0,13,8,4,0,17,0,21,19,2,17,4,21,0,15,6,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Diguvapalle,0,13,6,17,0,2,17,0,2,19,0,0,12,7,4,0,15,0,19,14,5,17,2,19,0,18,1,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Tadpatri (R),0,63,10,63,0,10,63,0,10,73,0,0,61,12,9,0,64,1,72,45,28,48,25,73,0,68,5,62,11
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Gangadevipalle,0,22,0,16,0,6,11,0,11,22,0,0,22,0,0,0,22,19,3,22,0,15,7,22,0,22,0,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Venkatampalle,0,22,0,18,0,4,14,0,8,22,0,0,20,2,4,0,18,0,22,19,3,20,2,22,0,22,0,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Bhogasamudram,0,21,5,22,0,4,18,0,8,26,0,0,16,10,3,0,23,1,25,17,9,17,9,26,0,24,2,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Alur,0,34,4,29,0,9,13,1,24,38,0,0,33,5,3,0,35,0,38,37,1,32,6,38,0,37,1,38,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Vanganur,0,12,4,10,0,6,15,0,1,16,0,0,13,3,0,0,16,0,16,14,2,14,2,16,0,16,0,16,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Veerapuram,0,1,1,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,2,0,2,1,1,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Kaverisamudram,0,24,1,16,0,9,11,2,12,25,0,0,24,1,3,0,22,0,25,24,1,19,6,25,0,24,1,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Uruchinthala,0,17,4,17,0,4,14,1,6,20,1,0,17,4,3,0,18,17,4,21,0,16,5,21,0,20,1,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Jambulapadu,0,17,1,17,0,1,11,0,7,18,0,0,17,1,1,0,17,0,18,15,3,14,4,18,0,18,0,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Brahmanapalle,0,9,1,8,0,2,9,0,1,10,0,0,10,0,0,0,10,0,10,10,0,9,1,10,0,10,0,10,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Komali,0,1,1,2,0,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Seetharampuram,0,1,1,2,0,0,1,0,1,2,0,0,1,1,0,0,2,0,2,2,0,1,1,2,0,2,0,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,TADIPATRI - 4741,Bondaladinne,0,6,1,5,0,2,7,0,0,7,0,0,5,2,2,0,5,0,7,6,1,3,4,7,0,7,0,7,0
