State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Alur,ANANTAPUR,TADIPATRI - 4741,Alur,0,4,34,29,9,0,13,24,1,0,5,33,3,0,35,38,0,38,0,37,1,32,6,38,0,37,1,38,0
Bhogasamudram,ANANTAPUR,TADIPATRI - 4741,Bhogasamudram,0,5,21,22,4,0,18,8,0,0,10,16,3,0,23,25,1,26,0,17,9,17,9,26,0,24,2,26,0
Bondaladinne,ANANTAPUR,TADIPATRI - 4741,Bondaladinne,0,1,6,5,2,0,7,0,0,0,2,5,2,0,5,7,0,7,0,6,1,3,4,7,0,7,0,7,0
Brahmanapalle,ANANTAPUR,TADIPATRI - 4741,Brahmanapalle,0,1,9,8,2,0,9,1,0,0,0,10,0,0,10,10,0,10,0,10,0,9,1,10,0,10,0,10,0
Chinnapolamada,ANANTAPUR,TADIPATRI - 4741,Chinnapolamada,0,1,12,9,4,0,10,3,0,0,6,7,1,0,12,13,0,13,0,12,1,11,2,13,0,11,2,12,1
Chukkalur,ANANTAPUR,TADIPATRI - 4741,Chukkalur,0,5,16,19,2,0,16,5,0,0,8,13,4,0,17,21,0,21,0,19,2,17,4,21,0,15,6,21,0
Diguvapalle,ANANTAPUR,TADIPATRI - 4741,Diguvapalle,0,6,13,17,2,0,17,2,0,0,7,12,4,0,15,19,0,19,0,14,5,17,2,19,0,18,1,19,0
Gangadevipalle,ANANTAPUR,TADIPATRI - 4741,Gangadevipalle,0,0,22,16,6,0,11,11,0,0,0,22,0,0,22,3,19,22,0,22,0,15,7,22,0,22,0,22,0
Husenapuram,ANANTAPUR,TADIPATRI - 4741,Husenapuram,0,0,2,2,0,0,2,0,0,0,1,1,0,0,2,2,0,2,0,1,1,1,1,2,0,2,0,2,0
Igudur,ANANTAPUR,TADIPATRI - 4741,Igudur,0,6,13,18,1,0,14,5,0,0,5,14,2,1,16,19,0,19,0,19,0,14,5,19,0,15,4,19,0
Jambulapadu,ANANTAPUR,TADIPATRI - 4741,Jambulapadu,0,1,17,17,1,0,11,7,0,0,1,17,1,0,17,18,0,18,0,15,3,14,4,18,0,18,0,18,0
Kaverisamudram,ANANTAPUR,TADIPATRI - 4741,Kaverisamudram,0,1,24,16,9,0,11,12,2,0,1,24,3,0,22,25,0,25,0,24,1,19,6,25,0,24,1,25,0
Komali,ANANTAPUR,TADIPATRI - 4741,Komali,0,1,1,2,0,0,1,1,0,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Peddapolamada,ANANTAPUR,TADIPATRI - 4741,Peddapolamada,0,9,31,31,9,0,28,12,0,0,10,30,5,0,35,39,1,38,2,38,2,32,8,40,0,38,2,40,0
Sajjaladinne,ANANTAPUR,TADIPATRI - 4741,Sajjaladinne,0,1,12,13,0,0,13,0,0,0,3,10,3,0,10,13,0,13,0,12,1,11,2,13,0,13,0,13,0
Seetharampuram,ANANTAPUR,TADIPATRI - 4741,Seetharampuram,0,1,1,2,0,0,1,1,0,0,1,1,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Tadpatri (R),ANANTAPUR,TADIPATRI - 4741,Tadpatri (R),0,10,63,63,10,0,63,10,0,0,12,61,9,0,64,72,1,73,0,45,28,48,25,73,0,68,5,62,11
Uruchinthala,ANANTAPUR,TADIPATRI - 4741,Uruchinthala,0,4,17,17,4,0,14,6,1,0,4,17,3,0,18,4,17,20,1,21,0,16,5,21,0,20,1,21,0
Vanganur,ANANTAPUR,TADIPATRI - 4741,Vanganur,0,4,12,10,6,0,15,1,0,0,3,13,0,0,16,16,0,16,0,14,2,14,2,16,0,16,0,16,0
Veerapuram,ANANTAPUR,TADIPATRI - 4741,Veerapuram,0,1,1,2,0,0,2,0,0,0,0,2,0,0,2,2,0,2,0,0,2,1,1,2,0,2,0,2,0
Venkatampalle,ANANTAPUR,TADIPATRI - 4741,Venkatampalle,0,0,22,18,4,0,14,8,0,0,2,20,4,0,18,22,0,22,0,19,3,20,2,22,0,22,0,22,0
