State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Amidala,ANANTAPUR,URAVAKONDA - 4744,Amidala,0,2,27,27,2,0,25,4,0,0,3,26,0,0,29,29,0,29,0,22,7,22,7,29,0,25,4,29,0
Budagavi,ANANTAPUR,URAVAKONDA - 4744,Budagavi,0,1,25,24,2,0,23,3,0,0,2,24,0,0,26,26,0,26,0,21,5,19,7,26,0,22,4,26,0
Chinna Musturu,ANANTAPUR,URAVAKONDA - 4744,Chinna Musturu,0,1,26,25,2,0,14,13,0,0,0,27,0,0,27,27,0,27,0,25,2,26,1,27,0,22,5,27,0
Indravathi,ANANTAPUR,URAVAKONDA - 4744,Indravathi,0,0,20,17,3,0,15,5,0,0,0,20,0,0,20,20,0,20,0,18,2,19,1,20,0,12,8,20,0
Lathavaram,ANANTAPUR,URAVAKONDA - 4744,Lathavaram,0,0,24,22,2,0,18,6,0,0,0,24,0,0,24,24,0,24,0,22,2,22,2,24,0,19,5,24,0
Mopidi,ANANTAPUR,URAVAKONDA - 4744,Mopidi,0,0,32,32,0,0,9,23,0,0,1,31,0,0,32,32,0,32,0,31,1,31,1,32,0,29,3,32,0
Nerimetla,ANANTAPUR,URAVAKONDA - 4744,Nerimetla,0,2,23,23,2,0,21,4,0,0,0,25,0,0,25,25,0,25,0,25,0,22,3,25,0,19,6,25,0
Nimbagal,ANANTAPUR,URAVAKONDA - 4744,Nimbagal,0,1,24,23,2,0,22,3,0,0,0,25,0,0,25,25,0,25,0,19,6,18,7,25,0,24,1,25,0
Pedda Musturu,ANANTAPUR,URAVAKONDA - 4744,Pedda Musturu,0,1,20,20,1,0,9,12,0,0,0,21,0,0,21,21,0,21,0,21,0,19,2,21,0,14,7,21,0
Peddakowkuntla,ANANTAPUR,URAVAKONDA - 4744,Peddakowkuntla,0,1,27,22,6,0,25,3,0,0,6,22,0,0,28,28,0,28,0,25,3,22,6,28,0,26,2,28,0
Raketla,ANANTAPUR,URAVAKONDA - 4744,Raketla,0,1,27,27,1,0,24,4,0,0,5,23,0,0,28,28,0,28,0,26,2,27,1,28,0,26,2,28,0
Rayampalle,ANANTAPUR,URAVAKONDA - 4744,Rayampalle,0,0,27,25,2,0,26,1,0,0,1,26,0,0,27,27,0,27,0,26,1,19,8,27,0,22,5,26,1
Renimakulapalle,ANANTAPUR,URAVAKONDA - 4744,Renimakulapalle,0,1,24,24,1,0,13,12,0,0,2,23,0,0,25,25,0,25,0,22,3,23,2,25,0,20,5,25,0
Shaiksanipalle,ANANTAPUR,URAVAKONDA - 4744,Shaiksanipalle,0,1,21,21,1,0,21,1,0,0,0,22,0,0,22,22,0,22,0,19,3,16,6,22,0,20,2,22,0
Uravakonda (CT),ANANTAPUR,URAVAKONDA - 4744,Uravakonda (CT),0,5,13,17,1,0,15,3,0,0,4,14,0,0,18,18,0,18,0,16,2,14,4,18,0,16,2,18,0
Veligonda,ANANTAPUR,URAVAKONDA - 4744,Veligonda,0,1,24,24,1,0,20,5,0,0,1,24,0,0,25,25,0,25,0,22,3,24,1,25,0,20,5,25,0
Vyasapuram,ANANTAPUR,URAVAKONDA - 4744,Vyasapuram,0,1,25,20,6,0,24,2,0,0,4,22,0,0,26,26,0,26,0,21,5,24,2,26,0,21,5,26,0
