cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Chabala,0,18,4,18,0,4,17,0,5,22,0,0,18,4,1,0,21,0,22,18,4,21,1,22,0,16,6,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Chinna Hothur,0,20,1,15,0,6,17,0,4,21,0,0,17,4,0,0,21,0,21,15,6,14,7,21,0,17,4,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Pedda Chinnapyapili,0,16,3,16,0,3,18,0,1,19,0,0,17,2,1,0,18,0,19,17,2,14,5,19,0,13,6,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Ragulapadu,0,19,3,18,0,4,20,0,2,22,0,0,20,2,0,0,22,0,22,20,2,20,2,22,0,11,11,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Gade Hothur,0,18,3,12,1,8,11,0,10,21,0,0,20,1,4,0,17,0,21,19,2,16,5,21,0,12,9,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Ganjikunta,0,24,1,23,0,2,19,0,6,25,0,0,23,2,0,0,25,0,25,19,6,21,4,25,0,23,2,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Venkatampalle,0,15,1,12,0,4,13,0,3,16,0,0,15,1,1,0,15,0,16,11,5,14,2,16,0,10,6,15,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Konakondla,0,15,4,18,0,1,16,0,3,19,0,0,15,4,0,0,19,0,19,19,0,13,6,19,0,11,8,19,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Vajrakarur,0,22,1,20,0,3,20,0,3,23,0,0,23,0,1,0,22,1,22,21,2,19,4,23,0,14,9,23,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Gulapalem,0,9,1,9,0,1,10,0,0,10,0,0,9,1,0,0,10,0,10,7,3,10,0,10,0,9,1,10,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Kamalapadu,0,11,0,7,0,4,11,0,0,11,0,0,11,0,0,0,11,0,11,10,1,11,0,11,0,8,3,11,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Jarutla Rampuram,0,8,0,7,0,1,2,0,6,8,0,0,8,0,0,0,8,0,8,7,1,8,0,8,0,5,3,8,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VAJRAKARUR - 4745,Pottipadu,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
