State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chabala,ANANTAPUR,VAJRAKARUR - 4745,Chabala,0,4,18,18,4,0,17,5,0,0,4,18,1,0,21,22,0,22,0,18,4,21,1,22,0,16,6,22,0
Chinna Hothur,ANANTAPUR,VAJRAKARUR - 4745,Chinna Hothur,0,1,20,15,6,0,17,4,0,0,4,17,0,0,21,21,0,21,0,15,6,14,7,21,0,17,4,21,0
Gade Hothur,ANANTAPUR,VAJRAKARUR - 4745,Gade Hothur,0,3,18,12,8,1,11,10,0,0,1,20,4,0,17,21,0,21,0,19,2,16,5,21,0,12,9,21,0
Ganjikunta,ANANTAPUR,VAJRAKARUR - 4745,Ganjikunta,0,1,24,23,2,0,19,6,0,0,2,23,0,0,25,25,0,25,0,19,6,21,4,25,0,23,2,25,0
Gulapalem,ANANTAPUR,VAJRAKARUR - 4745,Gulapalem,0,1,9,9,1,0,10,0,0,0,1,9,0,0,10,10,0,10,0,7,3,10,0,10,0,9,1,10,0
Jarutla Rampuram,ANANTAPUR,VAJRAKARUR - 4745,Jarutla Rampuram,0,0,8,7,1,0,2,6,0,0,0,8,0,0,8,8,0,8,0,7,1,8,0,8,0,5,3,8,0
Kamalapadu,ANANTAPUR,VAJRAKARUR - 4745,Kamalapadu,0,0,11,7,4,0,11,0,0,0,0,11,0,0,11,11,0,11,0,10,1,11,0,11,0,8,3,11,0
Konakondla,ANANTAPUR,VAJRAKARUR - 4745,Konakondla,0,4,15,18,1,0,16,3,0,0,4,15,0,0,19,19,0,19,0,19,0,13,6,19,0,11,8,19,0
Pedda Chinnapyapili,ANANTAPUR,VAJRAKARUR - 4745,Pedda Chinnapyapili,0,3,16,16,3,0,18,1,0,0,2,17,1,0,18,19,0,19,0,17,2,14,5,19,0,13,6,19,0
Pottipadu,ANANTAPUR,VAJRAKARUR - 4745,Pottipadu,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Ragulapadu,ANANTAPUR,VAJRAKARUR - 4745,Ragulapadu,0,3,19,18,4,0,20,2,0,0,2,20,0,0,22,22,0,22,0,20,2,20,2,22,0,11,11,22,0
Vajrakarur,ANANTAPUR,VAJRAKARUR - 4745,Vajrakarur,0,1,22,20,3,0,20,3,0,0,0,23,1,0,22,22,1,23,0,21,2,19,4,23,0,14,9,23,0
Venkatampalle,ANANTAPUR,VAJRAKARUR - 4745,Venkatampalle,0,1,15,12,4,0,13,3,0,0,1,15,1,0,15,16,0,16,0,11,5,14,2,16,0,10,6,15,0
