cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Donekal,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Cheekalaguriki,0,21,0,21,0,0,21,0,0,21,0,0,18,3,0,0,21,0,21,20,1,20,1,21,0,18,3,21,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Hanchanahal,0,19,3,21,0,1,20,0,2,22,0,0,22,0,0,0,22,0,22,21,1,18,4,22,0,16,6,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Poliki,0,22,0,19,0,3,20,0,2,22,0,0,21,1,0,0,22,0,22,14,8,17,5,22,0,21,1,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,N.Thimmapuram,0,22,0,21,0,1,20,0,2,22,0,0,18,4,0,0,22,0,22,19,3,14,8,22,0,20,2,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Vidapanakal,0,61,3,55,0,9,54,0,10,64,0,0,63,1,0,0,64,0,64,40,24,50,14,63,0,56,8,64,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Palthur,0,55,0,46,0,9,39,0,16,55,0,0,49,6,0,0,55,0,55,34,21,42,13,55,0,49,6,55,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Undabanda,0,29,2,28,0,3,27,0,4,31,0,0,28,3,0,0,31,0,31,30,1,28,3,31,0,24,7,31,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Karakamukkala,0,21,1,18,0,4,16,0,6,22,0,0,22,0,0,0,22,0,22,21,1,18,4,22,0,21,1,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Havaligi,0,83,4,78,0,9,74,0,13,87,0,0,84,3,0,0,87,0,87,43,44,77,10,85,1,79,8,87,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Gadekal,0,23,4,26,0,1,20,0,7,27,0,0,27,0,0,0,27,0,27,27,0,26,1,27,0,24,3,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Velpumadugu,0,35,4,37,0,2,36,0,3,39,0,0,38,1,0,0,39,0,39,35,4,34,5,39,0,38,1,39,0
2023-24,ANDHRA PRADESH,ANANTAPUR,VIDAPANAKAL - 4746,Malapuram,0,24,0,24,0,0,22,0,2,23,1,0,24,0,0,0,24,1,23,22,2,23,1,24,0,19,5,24,0
