State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Cheekalaguriki,ANANTAPUR,VIDAPANAKAL - 4746,Cheekalaguriki,0,0,21,21,0,0,21,0,0,0,3,18,0,0,21,21,0,21,0,20,1,20,1,21,0,18,3,21,0
Donekal,ANANTAPUR,VIDAPANAKAL - 4746,Donekal,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Gadekal,ANANTAPUR,VIDAPANAKAL - 4746,Gadekal,0,4,23,26,1,0,20,7,0,0,0,27,0,0,27,27,0,27,0,27,0,26,1,27,0,24,3,27,0
Hanchanahal,ANANTAPUR,VIDAPANAKAL - 4746,Hanchanahal,0,3,19,21,1,0,20,2,0,0,0,22,0,0,22,22,0,22,0,21,1,18,4,22,0,16,6,22,0
Havaligi,ANANTAPUR,VIDAPANAKAL - 4746,Havaligi,0,4,83,78,9,0,74,13,0,0,3,84,0,0,87,87,0,87,0,43,44,77,10,85,1,79,8,87,0
Karakamukkala,ANANTAPUR,VIDAPANAKAL - 4746,Karakamukkala,0,1,21,18,4,0,16,6,0,0,0,22,0,0,22,22,0,22,0,21,1,18,4,22,0,21,1,22,0
Malapuram,ANANTAPUR,VIDAPANAKAL - 4746,Malapuram,0,0,24,24,0,0,22,2,0,0,0,24,0,0,24,23,1,23,1,22,2,23,1,24,0,19,5,24,0
N.Thimmapuram,ANANTAPUR,VIDAPANAKAL - 4746,N.Thimmapuram,0,0,22,21,1,0,20,2,0,0,4,18,0,0,22,22,0,22,0,19,3,14,8,22,0,20,2,22,0
Palthur,ANANTAPUR,VIDAPANAKAL - 4746,Palthur,0,0,55,46,9,0,39,16,0,0,6,49,0,0,55,55,0,55,0,34,21,42,13,55,0,49,6,55,0
Poliki,ANANTAPUR,VIDAPANAKAL - 4746,Poliki,0,0,22,19,3,0,20,2,0,0,1,21,0,0,22,22,0,22,0,14,8,17,5,22,0,21,1,22,0
Undabanda,ANANTAPUR,VIDAPANAKAL - 4746,Undabanda,0,2,29,28,3,0,27,4,0,0,3,28,0,0,31,31,0,31,0,30,1,28,3,31,0,24,7,31,0
Velpumadugu,ANANTAPUR,VIDAPANAKAL - 4746,Velpumadugu,0,4,35,37,2,0,36,3,0,0,1,38,0,0,39,39,0,39,0,35,4,34,5,39,0,38,1,39,0
Vidapanakal,ANANTAPUR,VIDAPANAKAL - 4746,Vidapanakal,0,3,61,55,9,0,54,10,0,0,1,63,0,0,64,64,0,64,0,40,24,50,14,63,0,56,8,64,0
