cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Vemulapadu,0,22,0,22,0,0,18,0,4,22,0,0,22,0,13,0,9,0,22,13,9,20,2,22,0,1,21,22,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Yadiki,0,27,0,25,0,2,19,0,8,27,0,0,27,0,1,0,26,2,25,13,14,23,4,27,0,2,25,27,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Konuppalapadu,0,24,1,25,0,0,19,0,6,25,0,0,24,1,18,0,7,0,25,11,14,18,7,25,0,19,6,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Obulapuram,0,2,0,2,0,0,1,0,1,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,1,1,2,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Tutrallapalle,0,25,0,25,0,0,21,0,4,25,0,0,25,0,19,0,6,1,24,9,16,18,7,25,0,17,8,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Puppala,0,25,1,26,0,0,17,0,9,25,1,0,26,0,12,0,14,0,26,23,3,22,4,26,0,21,5,26,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Rayalacheruvu,0,25,0,23,0,2,17,0,8,24,1,0,25,0,9,0,16,0,25,16,9,24,1,25,0,14,11,25,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Gudipadu,0,24,0,24,0,0,14,0,10,24,0,0,23,1,7,0,17,1,23,4,20,12,12,24,0,20,4,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Nagarur,0,24,0,22,0,2,18,0,6,24,0,0,24,0,21,0,3,0,24,11,13,18,6,24,0,14,10,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Chandana,0,24,0,21,0,3,22,0,2,24,0,0,24,0,15,0,9,0,24,14,10,18,6,24,0,21,3,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Kamalapadu,0,24,0,24,0,0,20,0,4,24,0,0,24,0,12,0,12,0,24,12,12,19,5,24,0,1,23,24,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YADIKI - 4747,Nittoor,0,25,0,22,0,3,15,0,9,25,0,0,24,1,0,0,25,5,20,10,15,17,8,25,0,2,23,25,0
