State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Chandana,ANANTAPUR,YADIKI - 4747,Chandana,0,0,24,21,3,0,22,2,0,0,0,24,15,0,9,24,0,24,0,14,10,18,6,24,0,21,3,24,0
Gudipadu,ANANTAPUR,YADIKI - 4747,Gudipadu,0,0,24,24,0,0,14,10,0,0,1,23,7,0,17,23,1,24,0,4,20,12,12,24,0,20,4,24,0
Kamalapadu,ANANTAPUR,YADIKI - 4747,Kamalapadu,0,0,24,24,0,0,20,4,0,0,0,24,12,0,12,24,0,24,0,12,12,19,5,24,0,1,23,24,0
Konuppalapadu,ANANTAPUR,YADIKI - 4747,Konuppalapadu,0,1,24,25,0,0,19,6,0,0,1,24,18,0,7,25,0,25,0,11,14,18,7,25,0,19,6,25,0
Nagarur,ANANTAPUR,YADIKI - 4747,Nagarur,0,0,24,22,2,0,18,6,0,0,0,24,21,0,3,24,0,24,0,11,13,18,6,24,0,14,10,24,0
Nittoor,ANANTAPUR,YADIKI - 4747,Nittoor,0,0,25,22,3,0,15,9,0,0,1,24,0,0,25,20,5,25,0,10,15,17,8,25,0,2,23,25,0
Obulapuram,ANANTAPUR,YADIKI - 4747,Obulapuram,0,0,2,2,0,0,1,1,0,0,0,2,0,0,2,2,0,2,0,1,1,2,0,2,0,1,1,2,0
Puppala,ANANTAPUR,YADIKI - 4747,Puppala,0,1,25,26,0,0,17,9,0,0,0,26,12,0,14,26,0,25,1,23,3,22,4,26,0,21,5,26,0
Rayalacheruvu,ANANTAPUR,YADIKI - 4747,Rayalacheruvu,0,0,25,23,2,0,17,8,0,0,0,25,9,0,16,25,0,24,1,16,9,24,1,25,0,14,11,25,0
Tutrallapalle,ANANTAPUR,YADIKI - 4747,Tutrallapalle,0,0,25,25,0,0,21,4,0,0,0,25,19,0,6,24,1,25,0,9,16,18,7,25,0,17,8,25,0
Vemulapadu,ANANTAPUR,YADIKI - 4747,Vemulapadu,0,0,22,22,0,0,18,4,0,0,0,22,13,0,9,22,0,22,0,13,9,20,2,22,0,1,21,22,0
Yadiki,ANANTAPUR,YADIKI - 4747,Yadiki,0,0,27,25,2,0,19,8,0,0,0,27,1,0,26,25,2,27,0,13,14,23,4,27,0,2,25,27,0
