cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Bukkapuram,0,11,1,12,0,0,6,0,6,12,0,0,11,1,0,0,12,0,12,9,3,7,5,12,0,8,4,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Singavaram,0,9,0,8,0,1,7,0,2,9,0,0,8,1,0,0,9,0,9,5,4,8,1,9,0,7,2,9,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Mallagundla,0,17,0,17,0,0,14,0,3,17,0,0,17,0,0,0,17,0,17,16,1,5,12,17,0,16,1,17,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Goddumarri,0,31,0,28,0,3,14,0,17,31,0,0,31,0,0,0,31,0,31,14,17,26,5,31,0,22,9,31,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Yellanur,0,40,0,38,0,2,27,0,13,40,0,0,36,4,0,0,40,0,40,24,16,21,19,40,0,36,4,39,1
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Peddamallepalle,0,3,0,3,0,0,0,0,3,3,0,0,2,1,1,0,2,0,3,2,1,1,2,3,0,3,0,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Nitturu,0,2,0,2,0,0,0,0,2,2,0,0,1,1,0,0,2,0,2,1,1,1,1,2,0,2,0,1,1
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Kalluru,0,36,1,34,0,3,21,0,16,36,1,0,36,1,0,0,37,0,37,25,12,27,10,37,0,31,6,35,2
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Vennapurapalle,0,15,0,14,0,1,10,1,4,15,0,0,15,0,0,0,15,0,15,12,3,5,10,15,0,11,4,14,1
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Boppepalle,0,12,0,10,0,2,4,0,8,12,0,0,11,1,0,0,12,0,12,10,2,8,4,12,0,10,2,12,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Y.Chintakayamanda,0,18,0,18,0,0,7,0,11,18,0,0,17,1,1,0,17,0,18,7,11,11,7,18,0,14,4,18,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Chilamakuru,0,2,1,3,0,0,1,0,2,3,0,0,3,0,0,0,3,0,3,1,2,1,2,3,0,3,0,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Vemulapalle,0,3,1,4,0,0,3,0,1,4,0,0,4,0,0,0,4,0,4,2,2,3,1,4,0,3,1,4,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Thirumalapuram,0,7,0,7,0,0,3,0,4,7,0,0,7,0,0,0,7,0,7,2,5,1,6,7,0,6,1,7,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Aravedu,0,3,0,3,0,0,2,0,1,3,0,0,2,1,0,0,3,0,3,2,1,2,1,3,0,2,1,3,0
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Pathapalle,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,2,1,0,3,3,0,2,1,2,1
2023-24,ANDHRA PRADESH,ANANTAPUR,YELLANUR - 4748,Kacharlakunta,0,4,0,4,0,0,2,0,2,4,0,0,4,0,0,0,4,0,4,3,1,3,1,4,0,3,1,4,0
