cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Vetamamidi,0,13,0,12,1,0,2,4,7,10,3,1,7,5,0,0,13,2,11,13,0,8,5,13,0,11,2,13,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Anigeru,0,27,1,23,0,5,7,0,21,24,4,3,14,11,1,0,27,6,22,28,0,14,13,28,0,24,4,28,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kinaparti,1,9,0,6,0,4,4,0,6,10,0,0,8,2,0,0,10,2,8,9,1,1,7,10,0,9,1,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Gontuvanipalem,1,28,0,21,0,8,12,0,17,29,0,3,17,9,1,0,27,6,23,28,1,3,25,28,1,27,2,29,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Bodlanka,1,15,0,16,0,0,3,1,12,16,0,1,9,6,0,0,16,2,14,15,1,10,6,16,0,15,1,16,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Konalova,1,21,0,17,0,5,8,0,14,22,0,1,12,9,0,0,22,5,17,21,1,9,12,22,0,21,1,22,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Yellavaram,1,7,0,6,0,2,6,0,2,7,1,1,4,3,0,0,8,1,7,8,0,2,6,8,0,7,1,8,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Nimmalapalem,1,2,0,3,0,0,1,0,2,2,1,1,2,0,0,0,3,0,3,3,0,2,1,3,0,2,1,3,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Thimmapuram,1,21,0,17,0,5,9,0,13,21,1,1,14,7,0,1,21,5,17,22,0,10,11,22,0,20,2,22,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Thungamadugula,2,16,0,13,0,5,4,0,14,16,2,2,9,7,0,0,18,3,15,18,0,11,7,18,0,16,2,18,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Rayapalle,2,13,0,12,0,3,8,0,7,12,3,0,9,6,0,0,15,5,10,15,0,8,7,15,0,13,2,15,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA - 4865,Chodavaram,1,6,0,6,0,1,3,0,4,6,1,0,3,4,1,0,6,1,6,7,0,1,6,7,0,6,1,7,0
