State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Anigeru,Alluri Sitharama Raju,ADDATEEGALA - 4865,Anigeru,0,1,27,23,5,0,7,21,0,3,11,14,1,0,27,22,6,24,4,28,0,14,13,28,0,24,4,28,0
Anukulapalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Anukulapalem,0,0,4,4,0,0,1,3,0,0,2,2,0,0,4,2,2,4,0,4,0,4,0,4,0,4,0,4,0
Atchiyyapeta,Alluri Sitharama Raju,ADDATEEGALA - 4865,Atchiyyapeta,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Bandamamillu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Bandamamillu,0,0,5,3,2,0,1,4,0,0,2,3,0,0,5,4,1,5,0,4,1,0,5,5,0,5,0,5,0
Bhimavaram,Alluri Sitharama Raju,ADDATEEGALA - 4865,Bhimavaram,0,0,5,4,1,0,0,5,0,1,2,2,0,0,5,5,0,4,1,5,0,2,3,5,0,5,0,5,0
Bodlanka,Alluri Sitharama Raju,ADDATEEGALA - 4865,Bodlanka,1,0,15,16,0,0,3,12,1,1,6,9,0,0,16,14,2,16,0,15,1,10,6,16,0,15,1,16,0
Chinavadisakarra,Alluri Sitharama Raju,ADDATEEGALA - 4865,Chinavadisakarra,0,1,8,6,3,0,3,5,1,0,3,6,0,0,9,7,2,9,0,8,1,0,9,9,0,9,0,9,0
Chodavaram,Alluri Sitharama Raju,ADDATEEGALA - 4865,Chodavaram,1,0,6,6,1,0,3,4,0,0,4,3,1,0,6,6,1,6,1,7,0,1,6,7,0,6,1,7,0
D. Kothuru,Alluri Sitharama Raju,ADDATEEGALA - 4865,D. Kothuru,1,0,3,3,1,0,2,2,0,1,2,1,0,0,4,4,0,3,1,4,0,3,1,4,0,3,1,4,0
D. Krishnavaram,Alluri Sitharama Raju,ADDATEEGALA - 4865,D. Krishnavaram,0,0,5,5,0,0,1,4,0,0,1,4,0,0,5,5,0,5,0,5,0,0,4,5,0,5,0,5,0
D. Ramavaram,Alluri Sitharama Raju,ADDATEEGALA - 4865,D. Ramavaram,0,0,5,5,0,0,2,3,0,0,1,4,0,0,5,4,1,5,0,5,0,3,2,5,0,5,0,5,0
Darsinuthula @ Regulapadu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Darsinuthula @ Regulapadu,0,0,2,1,1,0,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Doddivaka,Alluri Sitharama Raju,ADDATEEGALA - 4865,Doddivaka,0,0,5,5,0,0,1,4,0,1,2,2,0,0,5,5,0,5,0,5,0,0,4,5,0,5,0,5,0
Ducherthi,Alluri Sitharama Raju,ADDATEEGALA - 4865,Ducherthi,1,0,15,14,2,0,3,13,0,1,7,8,0,0,16,15,1,14,2,16,0,5,10,16,0,14,2,16,0
Duppalapalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Duppalapalem,0,0,6,5,1,0,1,5,0,1,2,3,0,0,6,5,1,6,0,6,0,2,3,6,0,6,0,6,0
Gavarayyapeta,Alluri Sitharama Raju,ADDATEEGALA - 4865,Gavarayyapeta,0,0,7,7,0,0,3,4,0,0,4,3,0,0,7,7,0,6,1,7,0,3,4,7,0,7,0,7,0
Gondolu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Gondolu,0,0,8,5,2,1,0,6,2,1,4,3,0,0,8,6,2,7,1,7,1,5,3,8,0,8,0,8,0
Gontuvanipalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Gontuvanipalem,1,0,28,21,8,0,12,17,0,3,9,17,1,0,27,23,6,29,0,28,1,3,25,28,1,27,2,29,0
Jajipalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Jajipalem,0,0,5,4,1,0,2,2,1,0,2,3,0,0,5,4,1,5,0,5,0,0,4,5,0,5,0,5,0
Kalimamidi,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kalimamidi,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Kimmuru,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kimmuru,0,0,9,6,3,0,2,7,0,0,4,5,0,0,9,8,1,8,1,9,0,1,7,9,0,9,0,9,0
Kinaparti,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kinaparti,1,0,9,6,4,0,4,6,0,0,2,8,0,0,10,8,2,10,0,9,1,1,7,10,0,9,1,10,0
Konalova,Alluri Sitharama Raju,ADDATEEGALA - 4865,Konalova,1,0,21,17,5,0,8,14,0,1,9,12,0,0,22,17,5,22,0,21,1,9,12,22,0,21,1,22,0
Kothurupadu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kothurupadu,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Kothurupadu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kothurupadu,0,0,11,8,3,0,3,8,0,1,4,6,0,0,11,9,2,9,2,11,0,6,5,11,0,11,0,11,0
Kottampalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kottampalem,0,0,7,6,1,0,4,3,0,0,2,5,0,0,7,5,2,7,0,7,0,0,7,7,0,7,0,7,0
Kovelapalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Kovelapalem,0,0,2,2,0,0,0,2,0,0,1,1,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Languparti,Alluri Sitharama Raju,ADDATEEGALA - 4865,Languparti,0,0,5,5,0,0,2,3,0,1,2,2,0,0,5,5,0,5,0,5,0,0,5,5,0,5,0,5,0
Mallavaram Mamillu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Mallavaram Mamillu,0,0,2,2,0,0,1,1,0,0,0,2,0,0,2,2,0,2,0,2,0,1,1,2,0,2,0,2,0
Mamidipalem,Alluri Sitharama Raju,ADDATEEGALA - 4865,Mamidipalem,0,0,2,2,0,0,0,2,0,0,1,1,0,0,2,2,0,2,0,2,0,0,2,2,0,2,0,2,0
Matlapadu,Alluri Sitharama Raju,ADDATEEGALA - 4865,Matlapadu,0,0,8,6,2,0,1,7,0,1,4,3,0,0,8,7,1,6,2,8,0,4,4,8,0,8,0,8,0
