cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Damsarai,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Tummanuvalasa,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Seetampeta,0,2,4,0,0,6,0,2,4,6,0,1,1,4,0,0,6,0,6,0,6,2,4,5,1,1,5,1,5
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Peda Rabha,2,1,9,1,6,5,0,8,4,10,2,10,0,2,0,0,12,0,12,4,8,9,3,12,0,0,12,12,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Chilakalagedda,0,5,9,1,9,4,0,4,10,9,5,0,7,7,0,0,14,0,14,5,9,5,9,14,0,2,12,14,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Revallapalem,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,China Rabha,0,0,5,0,0,5,0,5,0,5,0,0,0,5,0,0,5,0,5,5,0,3,2,5,0,3,2,5,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Sorasapodaru,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Sottadivalasa,0,4,3,0,4,3,0,3,4,7,0,2,0,5,0,0,7,0,7,4,3,5,2,7,0,0,7,7,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI - 5584,Rampalle,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
