State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Adaru,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Adaru,0,3,2,3,2,0,0,3,2,5,0,0,0,0,5,5,0,5,0,3,2,1,4,5,0,0,5,2,3
Amalaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Amalaguda,0,2,1,2,1,0,0,2,1,1,2,0,0,0,3,3,0,3,0,0,3,0,3,3,0,0,3,0,3
Antiparthi,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Antiparthi,0,3,2,3,2,0,0,1,4,4,0,0,0,0,5,4,0,5,0,5,0,0,5,5,0,0,5,4,1
Baliyaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Baliyaguda,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0
Baliyaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Baliyaguda,0,7,1,2,4,2,0,8,0,7,1,0,0,0,8,8,0,8,0,0,8,0,8,5,3,0,8,4,4
Bamsuguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Bamsuguda,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1
Baski,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Baski,0,11,3,4,8,2,2,12,0,7,7,0,0,3,11,14,0,13,1,8,6,0,14,14,0,2,12,8,6
Beddaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Beddaguda,0,15,7,5,8,9,1,14,7,8,6,8,0,0,22,22,0,20,2,16,6,2,20,17,5,0,22,20,2
Bondam,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Bondam,0,5,5,6,2,2,5,5,0,6,4,0,0,0,10,10,0,10,0,7,3,3,7,10,0,0,10,8,2
Bonduguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Bonduguda,0,10,0,1,6,3,0,3,7,0,10,0,0,0,9,10,0,10,0,4,6,2,8,4,6,0,10,4,6
Bosubeda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Bosubeda,0,7,0,4,2,1,0,7,0,7,0,0,0,0,7,7,0,7,0,6,1,4,3,7,0,1,6,5,2
Chinalabudu,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Chinalabudu,0,7,12,7,10,2,0,8,11,18,1,0,0,1,14,18,0,16,3,13,6,0,19,9,10,1,18,9,10
Chompi,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Chompi,0,37,9,16,27,3,8,38,0,20,26,0,0,0,46,0,46,42,4,36,10,46,0,44,2,46,0,29,17
Dalapatiguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Dalapatiguda,0,2,0,0,2,0,0,1,1,2,0,0,0,0,2,2,0,2,0,0,2,2,0,1,1,0,2,1,1
Danirangini,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Danirangini,0,7,0,5,1,1,0,3,4,7,0,0,0,0,7,7,0,7,0,0,7,0,7,3,4,0,7,7,0
Devarapalle,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Devarapalle,0,5,0,2,3,0,0,5,0,2,3,0,0,0,5,5,0,5,0,5,0,0,5,4,1,0,5,3,2
Dingriputtu,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Dingriputtu,0,4,0,3,1,0,0,2,2,1,3,0,0,0,4,4,0,4,0,1,3,1,3,4,0,0,4,4,0
Doraguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Doraguda,0,3,6,3,6,0,2,7,0,9,0,0,0,0,9,9,0,2,7,5,4,1,8,3,6,0,9,5,4
Gadyaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Gadyaguda,0,9,0,0,1,8,0,2,7,1,1,7,0,2,7,9,0,5,4,8,1,2,7,8,1,0,9,6,3
Gangasanivalasa,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Gangasanivalasa,0,2,3,3,0,2,0,0,5,4,1,0,0,0,5,5,0,2,3,1,4,1,4,4,1,0,5,1,4
Gannela,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Gannela,0,2,1,2,1,0,0,3,0,0,2,0,0,0,3,3,0,3,0,0,3,0,3,3,0,0,3,0,3
Garudaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Garudaguda,0,1,1,2,0,0,0,0,2,1,1,0,0,0,2,2,0,1,1,0,2,2,0,2,0,0,2,2,0
Gattaraguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Gattaraguda,0,1,6,0,0,7,0,0,7,0,5,2,0,0,7,7,0,2,5,7,0,0,7,7,0,0,7,6,1
Girliguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Girliguda,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
Gugguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Gugguda,0,16,4,13,4,3,2,17,1,7,13,0,0,0,20,20,0,20,0,9,11,3,17,19,1,2,18,7,13
Hattaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Hattaguda,0,7,1,4,2,2,0,7,1,4,4,0,0,1,7,8,0,8,0,6,2,4,4,8,0,1,7,6,2
Iragai,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Iragai,0,5,4,4,4,1,0,9,0,3,6,0,0,0,8,9,0,9,0,0,9,0,9,4,5,0,9,4,5
Jaginivalasa,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Jaginivalasa,0,2,3,4,1,0,0,5,0,5,0,0,0,0,5,5,0,2,3,2,3,0,5,4,1,0,5,5,0
Janamguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Janamguda,0,0,6,0,1,5,0,6,0,5,1,0,0,0,6,6,0,5,1,4,2,0,6,4,2,0,6,6,0
Janamguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Janamguda,0,8,1,0,2,7,0,0,9,2,7,0,0,0,9,9,0,8,1,8,1,0,9,9,0,0,9,9,0
Kaguvalasa,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kaguvalasa,0,6,3,0,5,4,0,8,1,4,5,0,0,0,9,9,0,5,4,9,0,0,9,9,0,0,9,8,1
Kandulaguddi,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kandulaguddi,0,3,0,0,0,3,0,0,3,3,0,0,0,0,3,3,0,3,0,3,0,1,2,3,0,0,3,1,2
Kantabamsuguda (CT),Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kantabamsuguda (CT),0,4,0,3,1,0,1,3,0,4,0,0,0,0,4,4,0,0,4,1,3,2,2,4,0,0,4,4,0
Kappalagondi,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kappalagondi,0,2,6,4,4,0,0,3,5,2,5,1,0,0,8,7,1,5,3,4,4,2,6,6,2,1,7,7,1
Karakavalasa,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Karakavalasa,0,5,1,3,0,3,1,4,1,3,3,0,0,0,6,6,0,6,0,4,2,1,5,6,0,1,5,6,0
Kinnamguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kinnamguda,0,1,3,0,2,2,0,4,0,4,0,0,0,0,4,4,0,0,4,4,0,0,4,0,4,0,4,3,1
Korraguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Korraguda,0,3,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,3,0,2,1,2,1,3,0,0,3,3,0
Korraguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Korraguda,0,10,4,6,4,4,2,7,5,2,9,3,0,0,14,14,0,12,2,12,2,10,4,10,4,0,14,11,3
Kosiguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kosiguda,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,2,1,1,2,0,0,2,2,0
Kothaballuguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kothaballuguda,0,7,3,4,3,3,2,6,2,2,7,1,0,0,10,10,0,10,0,10,0,7,3,10,0,1,9,10,0
Kundiguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kundiguda,0,9,2,5,5,1,0,11,0,8,1,0,0,0,9,9,0,10,1,11,0,4,7,6,5,0,11,11,0
Kusumguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kusumguda,0,4,1,2,2,1,0,3,2,5,0,0,0,0,5,5,0,5,0,1,4,0,5,3,2,0,5,4,1
Landiguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Landiguda,0,2,4,0,2,4,0,3,3,0,3,3,0,0,6,6,0,6,0,2,4,0,6,5,1,1,5,5,1
Limbaguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Limbaguda,0,5,2,0,4,3,0,7,0,4,0,3,0,0,7,7,0,5,2,7,0,1,6,7,0,0,7,3,4
Littiguda,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Littiguda,0,7,0,2,1,4,2,5,0,7,0,0,0,0,7,7,0,3,4,0,7,1,6,7,0,2,5,5,2
LOTERU MUSIRIGUDA,Alluri Sitharama Raju,ARAKU VALLEY - 5585,LOTERU MUSIRIGUDA,0,7,2,5,2,2,0,2,7,5,4,0,0,0,9,9,0,7,2,2,7,0,9,9,0,0,9,3,6
Lotheru,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Lotheru,0,4,4,2,4,2,2,6,0,4,1,3,0,2,6,8,0,8,0,7,1,0,8,7,1,0,8,5,3
