cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Siragam,0,3,15,14,0,4,2,9,7,15,3,9,1,8,0,0,18,1,17,16,2,1,17,10,8,0,18,17,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Sunkarametta,0,2,0,0,1,1,2,0,0,1,1,0,2,0,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Lotheru,0,4,4,2,2,4,2,0,6,8,0,4,3,1,0,2,6,0,8,7,1,0,8,7,1,0,8,5,3
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Padmapuram,0,21,32,15,10,29,4,5,44,48,6,8,16,29,0,1,52,0,53,54,0,37,17,50,4,5,49,54,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Baski,0,3,11,4,2,8,2,0,12,13,1,7,0,7,0,3,11,0,14,8,6,0,14,14,0,2,12,8,6
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kothaballuguda,0,3,7,4,3,3,2,2,6,10,0,2,1,7,0,0,10,0,10,10,0,7,3,10,0,1,9,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Madaguda,0,3,19,14,0,8,0,4,18,20,2,2,1,19,0,5,17,0,22,18,4,10,12,21,1,3,19,9,13
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Panirangini,0,5,18,14,1,8,3,8,12,23,0,8,2,13,0,1,22,0,23,7,16,20,3,19,4,0,23,15,8
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Ravvalaguda,0,2,3,2,0,3,0,3,2,5,0,3,0,2,0,0,5,0,5,1,4,3,2,4,1,0,5,5,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Korraguda,0,0,3,3,0,0,0,3,0,3,0,3,0,0,0,0,3,0,3,2,1,2,1,3,0,0,3,3,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Pitraguda,0,4,1,1,0,4,0,0,5,5,0,5,0,0,0,0,5,0,5,3,2,0,5,4,1,0,5,1,4
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Kusumguda,0,1,4,2,1,2,0,2,3,5,0,5,0,0,0,0,5,0,5,1,4,0,5,3,2,0,5,4,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Pakanaguda,0,8,4,6,2,4,0,0,12,9,3,11,0,1,0,0,12,0,12,0,12,3,9,8,4,0,12,1,11
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Danirangini,0,0,7,5,1,1,0,4,3,7,0,7,0,0,0,0,7,0,7,0,7,0,7,3,4,0,7,7,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Antiparthi,0,2,3,3,0,2,0,4,1,5,0,4,0,0,0,0,5,0,4,5,0,0,5,5,0,0,5,4,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY - 5585,Beddaguda,0,7,15,5,9,8,1,7,14,20,2,8,8,6,0,0,22,0,22,16,6,2,20,17,5,0,22,20,2
