cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Rallagedda,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,2,2,0,0,2,2,0,2,0,1,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Gondipakalu,0,2,0,2,0,0,0,0,2,1,1,0,1,1,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Chinna Gedda,0,9,8,9,3,5,3,5,9,14,3,1,10,6,0,0,17,0,17,17,0,5,12,16,1,1,16,17,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Cherapalle,0,11,5,14,2,0,4,2,10,13,3,1,5,10,0,0,16,0,16,16,0,0,16,16,0,1,15,16,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kinnerla,0,6,3,5,1,3,0,2,7,7,2,4,1,4,0,0,9,0,9,9,0,2,7,5,4,1,8,9,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Baddimetta,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kommangi,0,7,0,5,0,2,0,3,4,7,0,0,2,5,0,0,7,0,7,7,0,0,7,5,2,2,5,7,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bennavaram,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Cherukumpakalu,0,9,6,14,0,1,0,9,6,14,1,1,10,4,0,1,14,0,15,14,1,0,15,15,0,1,14,15,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Lothugedda,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kappagondhi,0,1,5,6,0,0,0,5,1,6,0,1,1,4,0,0,6,0,6,6,0,0,6,6,0,1,5,6,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Sanivaram,0,4,5,1,4,4,1,7,1,7,2,0,4,5,0,2,7,0,9,8,1,0,9,9,0,0,9,9,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Anjalam,0,3,2,1,1,3,0,3,2,5,0,0,0,5,0,0,5,0,4,5,0,0,5,5,0,0,5,5,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bheemanapalle,0,9,0,9,0,0,0,4,5,9,0,0,0,9,0,0,9,0,9,9,0,7,2,9,0,0,9,9,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Pedabarada,0,5,6,4,3,4,2,4,5,11,0,4,1,6,0,0,11,0,11,11,0,4,7,11,0,0,11,11,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Chinna Rajupakalu,0,12,0,12,0,0,10,0,2,10,2,0,0,12,0,0,12,0,12,12,0,12,0,12,0,0,12,12,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Rajubanda,0,6,0,6,0,0,0,4,2,5,1,0,2,4,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Votti Busulu,0,9,0,9,0,0,3,1,5,6,3,0,5,4,0,0,9,0,9,9,0,8,1,8,1,1,8,9,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Pedakonda,0,8,0,8,0,0,1,1,6,5,3,0,0,8,0,0,8,0,8,8,0,7,1,8,0,0,8,8,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Lammasingi,0,9,1,10,0,0,10,0,0,9,1,0,0,10,0,0,10,0,10,10,0,5,5,10,0,0,10,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Asirada,0,12,1,11,0,2,0,5,8,13,0,0,5,8,0,0,13,0,13,13,0,11,2,13,0,0,13,13,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Yerrabanda,0,4,0,4,0,0,0,0,4,4,0,0,0,4,0,0,4,0,4,4,0,0,4,4,0,0,4,4,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kothavuru,0,5,14,19,0,0,5,6,8,17,2,0,0,19,0,0,19,0,19,19,0,17,2,19,0,0,19,19,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kolanubanda,0,2,0,2,0,0,0,1,1,1,1,0,0,2,0,0,2,0,2,2,0,0,2,2,0,0,2,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kudupusingi,0,8,12,20,0,0,7,5,8,18,2,1,6,13,0,0,20,0,20,20,0,1,19,20,0,0,20,20,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Routhupayalu,0,2,8,10,0,0,4,0,6,9,1,0,5,5,0,0,10,0,10,10,0,2,8,7,3,0,10,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Sadika,0,5,7,9,0,3,0,7,5,10,2,2,0,10,0,0,12,0,12,12,0,4,8,9,3,0,12,12,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Pothurajugummalu,0,5,8,11,0,2,0,2,11,10,3,0,0,12,0,0,13,0,13,13,0,10,3,13,0,0,13,11,2
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Lingalagudi,0,4,0,4,0,0,0,3,1,3,1,0,2,2,0,0,4,0,4,4,0,0,4,4,0,0,4,4,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Meduru,0,2,8,10,0,0,0,9,1,9,1,0,1,9,0,0,10,0,10,10,0,0,10,9,1,0,10,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Kothapalem,0,2,13,14,0,1,0,10,5,13,2,0,1,14,0,0,15,0,15,15,0,0,15,15,0,0,15,15,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Domalagondhi,0,2,0,2,0,0,0,2,0,1,1,0,0,2,0,0,2,0,2,2,0,0,2,2,0,1,1,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Vanthalapadu,0,1,4,3,1,1,0,3,2,5,0,4,0,1,0,0,5,0,5,5,0,2,3,5,0,0,5,5,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Suddagaruvu,0,1,5,4,0,2,0,5,1,4,2,1,0,5,0,0,6,0,6,6,0,1,5,6,0,0,6,6,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Mandipalle,0,1,9,8,0,2,0,10,0,7,3,0,2,8,0,0,10,0,10,10,0,0,10,10,0,0,10,10,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Cheruvuru,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bandabayalu,0,2,1,3,0,0,0,3,0,3,0,1,1,1,0,0,3,0,3,3,0,0,3,2,1,0,3,3,0
