State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Anjalam,Alluri Sitharama Raju,CHINTAPALLE - 5589,Anjalam,0,2,3,1,3,1,0,2,3,0,5,0,0,0,5,4,0,5,0,5,0,0,5,5,0,0,5,5,0
Annavaram,Alluri Sitharama Raju,CHINTAPALLE - 5589,Annavaram,0,1,1,2,0,0,0,0,2,1,0,1,0,0,2,2,0,1,1,2,0,0,2,2,0,0,2,2,0
Antharla,Alluri Sitharama Raju,CHINTAPALLE - 5589,Antharla,1,20,23,41,3,0,6,26,12,10,30,4,0,1,43,44,0,40,4,44,0,35,9,42,2,3,41,42,2
Asirada,Alluri Sitharama Raju,CHINTAPALLE - 5589,Asirada,0,1,12,11,2,0,0,8,5,0,8,5,0,0,13,13,0,13,0,13,0,11,2,13,0,0,13,13,0
Baddimetta,Alluri Sitharama Raju,CHINTAPALLE - 5589,Baddimetta,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Balabadram,Alluri Sitharama Raju,CHINTAPALLE - 5589,Balabadram,0,8,5,8,3,2,1,9,3,2,11,0,0,0,13,13,0,13,0,13,0,1,12,13,0,0,13,13,0
Bandabayalu,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bandabayalu,0,1,2,3,0,0,0,0,3,1,1,1,0,0,3,3,0,3,0,3,0,0,3,2,1,0,3,3,0
Barikadorapakalu @ Rajupakalu,Alluri Sitharama Raju,CHINTAPALLE - 5589,Barikadorapakalu @ Rajupakalu,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Basangi Kothuru,Alluri Sitharama Raju,CHINTAPALLE - 5589,Basangi Kothuru,0,11,3,13,0,1,0,8,6,2,12,0,0,0,14,14,0,14,0,14,0,7,7,14,0,1,13,14,0
Bayalukinchangi,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bayalukinchangi,0,9,2,5,5,1,0,1,10,2,9,0,0,0,11,11,0,10,1,11,0,10,1,8,3,0,11,11,0
Bayapadu,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bayapadu,0,8,7,12,1,2,2,10,3,4,11,0,0,0,15,15,0,14,1,15,0,5,10,15,0,1,14,15,0
Bennavaram,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bennavaram,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0
Bheemanapalle,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bheemanapalle,0,0,9,9,0,0,0,5,4,0,9,0,0,0,9,9,0,9,0,9,0,7,2,9,0,0,9,9,0
Bheemasingi,Alluri Sitharama Raju,CHINTAPALLE - 5589,Bheemasingi,0,4,10,8,4,2,0,11,3,11,3,0,0,0,14,14,0,14,0,14,0,0,14,14,0,1,13,14,0
Burugubailu,Alluri Sitharama Raju,CHINTAPALLE - 5589,Burugubailu,0,8,0,6,2,0,0,0,8,0,8,0,0,0,8,8,0,7,1,8,0,0,8,8,0,1,7,8,0
Chavatapadu,Alluri Sitharama Raju,CHINTAPALLE - 5589,Chavatapadu,0,4,2,4,1,1,0,5,1,5,1,0,0,0,6,6,0,4,2,6,0,6,0,2,4,0,6,6,0
Cherapalle,Alluri Sitharama Raju,CHINTAPALLE - 5589,Cherapalle,0,5,11,14,0,2,4,10,2,1,10,5,0,0,16,16,0,13,3,16,0,0,16,16,0,1,15,16,0
