State,District,Block,Village,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
Agraharapu Koderu,Alluri Sitharama Raju,CHINTOOR - 5062,Agraharapu Koderu,1,1,7,7,2,0,0,6,3,0,4,5,0,0,9,9,0,8,1,3,6,0,9,9,0,3,6,5,4
Alligudem,Alluri Sitharama Raju,CHINTOOR - 5062,Alligudem,0,0,7,5,2,0,0,4,3,1,3,3,0,0,7,7,0,7,0,2,5,1,6,5,2,7,0,6,1
Balimela,Alluri Sitharama Raju,CHINTOOR - 5062,Balimela,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0
Boddugudem,Alluri Sitharama Raju,CHINTOOR - 5062,Boddugudem,0,0,5,3,2,0,0,2,3,0,1,4,0,0,5,4,0,5,0,2,3,0,5,5,0,3,2,4,1
Burakanakota,Alluri Sitharama Raju,CHINTOOR - 5062,Burakanakota,0,0,17,12,5,0,0,11,6,0,1,16,0,0,17,17,0,17,0,7,10,0,17,8,9,7,10,16,1
Chatti,Alluri Sitharama Raju,CHINTOOR - 5062,Chatti,0,2,24,16,10,0,0,13,13,1,9,16,0,0,26,26,0,26,0,9,17,0,26,21,5,11,15,24,2
Chidumurum,Alluri Sitharama Raju,CHINTOOR - 5062,Chidumurum,0,0,3,3,0,0,0,1,2,0,1,2,0,0,3,3,0,3,0,3,0,0,3,1,2,1,2,3,0
Chinna Seethannapalle,Alluri Sitharama Raju,CHINTOOR - 5062,Chinna Seethannapalle,0,0,2,0,2,0,0,0,2,0,1,1,0,0,2,2,0,2,0,1,1,0,2,2,0,2,0,2,0
Chintur,Alluri Sitharama Raju,CHINTOOR - 5062,Chintur,0,0,3,2,1,0,0,1,2,0,0,3,0,0,3,3,0,3,0,0,3,0,3,3,0,0,3,2,1
Devarapalle,Alluri Sitharama Raju,CHINTOOR - 5062,Devarapalle,0,0,3,2,2,0,0,0,4,0,2,0,0,1,1,2,0,5,0,0,5,0,5,5,0,3,2,3,2
Ganganametta,Alluri Sitharama Raju,CHINTOOR - 5062,Ganganametta,0,0,5,3,2,0,0,3,2,1,3,1,0,3,2,5,0,5,0,0,5,0,5,2,3,0,5,0,5
Gondigudem,Alluri Sitharama Raju,CHINTOOR - 5062,Gondigudem,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,0,3,4,0,1,0,4,0
Guduru,Alluri Sitharama Raju,CHINTOOR - 5062,Guduru,0,0,4,1,2,1,0,1,4,0,2,1,0,0,1,2,0,5,0,1,4,1,4,4,1,4,1,0,5
Irkampeta,Alluri Sitharama Raju,CHINTOOR - 5062,Irkampeta,0,0,3,4,0,0,0,4,0,0,1,2,0,0,3,3,0,4,0,0,4,0,4,0,4,0,4,0,4
Kalleru,Alluri Sitharama Raju,CHINTOOR - 5062,Kalleru,0,2,7,4,5,0,0,4,5,0,2,7,0,1,8,9,0,8,1,3,6,2,7,8,1,4,5,6,3
Kannayagudem,Alluri Sitharama Raju,CHINTOOR - 5062,Kannayagudem,0,0,2,2,0,0,0,2,0,0,1,1,0,0,2,2,0,2,0,1,1,0,2,2,0,0,2,1,1
