cycle,state,district,block,village,n_High,n_Low,n_Medium,p_High,p_Low,p_Medium,k_High,k_Low,k_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,pH_Alkaline,pH_Acidic,pH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Lakshmipuram,0,2,0,2,0,0,0,1,1,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,1,1,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Indukurupeta,0,10,23,29,0,4,11,8,14,27,6,14,16,3,2,0,31,0,33,33,0,9,24,28,5,3,30,29,4
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Velagapalle,0,19,7,21,1,4,2,12,12,25,1,0,13,13,0,0,26,0,26,26,0,1,25,24,2,0,26,24,2
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,V. Ramannapalem,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Rayavaram,0,6,1,7,0,0,2,2,3,0,7,0,1,6,0,0,7,0,7,7,0,7,0,7,0,1,6,7,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Sarabhavaram,0,1,12,12,0,1,2,1,10,13,0,5,5,3,0,0,12,0,13,12,1,1,12,10,3,0,13,12,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Devaram,0,0,4,4,0,0,0,0,4,4,0,2,1,1,0,0,4,0,4,4,0,0,4,2,2,0,4,1,3
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Pothavaram,0,3,8,9,1,1,0,3,8,11,0,2,5,3,0,0,9,0,9,11,0,0,11,8,3,0,11,10,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Indukuru,0,2,1,3,0,0,0,0,3,3,0,1,0,2,0,0,3,0,3,3,0,0,3,3,0,0,3,2,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Anguluru,0,5,3,8,0,0,0,7,1,8,0,0,2,6,0,0,8,0,8,8,0,0,8,7,1,0,8,7,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Ravilanka,0,0,5,4,1,0,0,3,2,5,0,1,3,1,0,0,5,0,5,4,1,0,5,3,2,0,5,4,1
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Nelakota,0,3,12,15,0,0,0,5,10,15,0,9,4,2,0,0,15,0,15,15,0,0,15,11,4,0,15,11,4
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Pedduru,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,0,6,0,6,6,0,0,6,6,0,0,6,4,2
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Thatiwada,0,0,2,2,0,0,0,0,2,2,0,1,0,1,0,0,2,0,2,1,1,0,2,2,0,0,2,2,0
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Paluru,0,5,6,8,0,3,0,10,1,11,0,5,0,6,0,0,11,0,11,10,1,0,11,10,1,0,11,2,9
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Lothupalem,0,0,16,16,0,0,0,6,10,16,0,0,14,2,0,0,16,0,16,16,0,0,16,10,6,0,16,12,4
2023-24,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM - 4874,Devipatnam,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
